,stco,geoid,name,2000,2010
163,34013,3401352620,"North Caldwell borough, Essex County, New Jersey",7375,6183
164,34013,3401353680,"Nutley township, Essex County, New Jersey",27362,28370
165,34013,3401364590,"Roseland borough, Essex County, New Jersey",5298,5819
166,34013,3401369274,"South Orange Village township, Essex County, New Jersey",16964,16198
167,34013,3401375815,"Verona township, Essex County, New Jersey",13533,13332
168,34013,3401378510,"West Caldwell township, Essex County, New Jersey",11233,10759
169,34013,3401379800,"West Orange township, Essex County, New Jersey",44943,46207
170,34017,3401703580,"Bayonne city, Hudson County, New Jersey",61842,63024
171,34017,3401719360,"East Newark borough, Hudson County, New Jersey",2377,2406
172,34017,3401728650,"Guttenberg town, Hudson County, New Jersey",10807,11176
173,34017,3401730210,"Harrison town, Hudson County, New Jersey",14424,13620
174,34017,3401732250,"Hoboken city, Hudson County, New Jersey",38577,50005
175,34017,3401736000,"Jersey City city, Hudson County, New Jersey",240055,247597
176,34017,3401736510,"Kearny town, Hudson County, New Jersey",40513,40684
177,34017,3401752470,"North Bergen township, Hudson County, New Jersey",58092,60773
178,34017,3401766570,"Secaucus town, Hudson County, New Jersey",15931,16264
179,34017,3401774630,"Union City city, Hudson County, New Jersey",67088,66455
180,34017,3401777930,"Weehawken township, Hudson County, New Jersey",13501,12554
181,34017,3401779610,"West New York town, Hudson County, New Jersey",45768,49708
182,34019,3401900550,"Alexandria township, Hunterdon County, New Jersey",4698,4938
183,34019,3401905650,"Bethlehem township, Hunterdon County, New Jersey",3820,3979
184,34019,3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",886,870
185,34019,3401909280,"Califon borough, Hunterdon County, New Jersey",1055,1076
186,34019,3401913720,"Clinton town, Hunterdon County, New Jersey",2632,2719
187,34019,3401913750,"Clinton township, Hunterdon County, New Jersey",12957,13478
188,34019,3401917170,"Delaware township, Hunterdon County, New Jersey",4478,4563
189,34019,3401918820,"East Amwell township, Hunterdon County, New Jersey",4455,4013
190,34019,3401923700,"Flemington borough, Hunterdon County, New Jersey",4200,4581
191,34019,3401924870,"Franklin township, Hunterdon County, New Jersey",2990,3195
192,34019,3401925350,"Frenchtown borough, Hunterdon County, New Jersey",1488,1373
193,34019,3401926550,"Glen Gardner borough, Hunterdon County, New Jersey",1902,1704
194,34019,3401929460,"Hampton borough, Hunterdon County, New Jersey",1546,1401
195,34019,3401931320,"High Bridge borough, Hunterdon County, New Jersey",3776,3648
196,34019,3401932460,"Holland township, Hunterdon County, New Jersey",5124,5291
197,34019,3401937065,"Kingwood township, Hunterdon County, New Jersey",3782,3845
198,34019,3401938610,"Lambertville city, Hunterdon County, New Jersey",3868,3906
199,34019,3401939630,"Lebanon borough, Hunterdon County, New Jersey",1065,1358
200,34019,3401939660,"Lebanon township, Hunterdon County, New Jersey",5816,6588
201,34019,3401946260,"Milford borough, Hunterdon County, New Jersey",1195,1233
202,34019,3401961920,"Raritan township, Hunterdon County, New Jersey",19809,22185
203,34019,3401962250,"Readington township, Hunterdon County, New Jersey",15803,16126
204,34019,3401970980,"Stockton borough, Hunterdon County, New Jersey",560,538
205,34019,3401972510,"Tewksbury township, Hunterdon County, New Jersey",5541,5993
