,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
31,900163970,09001,"Ridgefield town, Fairfield County, Connecticut",2010,526,130,585,16703,17288,33,81,15933,municipality,CT
32,900168170,09001,"Shelton town, Fairfield County, Connecticut",2000,1140,546,1690,56568,58258,110,506,54266,municipality,CT
33,900168170,09001,"Shelton town, Fairfield County, Connecticut",2010,1114,633,1556,29665,31221,84,183,27651,municipality,CT
34,900168310,09001,"Sherman town, Fairfield County, Connecticut",2000,32,28,94,5518,5612,10,22,5426,municipality,CT
35,900168310,09001,"Sherman town, Fairfield County, Connecticut",2010,23,11,57,2692,2749,1,14,2643,municipality,CT
36,900173070,09001,"Stamford town, Fairfield County, Connecticut",2000,9264,24170,28690,153684,182374,584,2874,116792,municipality,CT
37,900173070,09001,"Stamford town, Fairfield County, Connecticut",2010,7460,12075,21614,74568,96182,391,914,53728,municipality,CT
38,900174190,09001,"Stratford town, Fairfield County, Connecticut",2000,1006,6256,4208,72732,76940,216,716,64538,municipality,CT
39,900174190,09001,"Stratford town, Fairfield County, Connecticut",2010,901,4923,4594,35498,40092,170,419,29085,municipality,CT
40,900177200,09001,"Trumbull town, Fairfield County, Connecticut",2000,1128,808,1192,49468,50660,86,272,47174,municipality,CT
41,900177200,09001,"Trumbull town, Fairfield County, Connecticut",2010,1047,751,1311,25465,26776,65,172,23430,municipality,CT
42,900183430,09001,"Weston town, Fairfield County, Connecticut",2000,268,144,266,13150,13416,32,36,12670,municipality,CT
43,900183430,09001,"Weston town, Fairfield County, Connecticut",2010,201,90,203,6666,6869,14,45,6316,municipality,CT
44,900183500,09001,"Westport town, Fairfield County, Connecticut",2000,874,438,808,36310,37118,52,158,34788,municipality,CT
45,900183500,09001,"Westport town, Fairfield County, Connecticut",2010,706,223,574,17950,18524,37,105,16879,municipality,CT
46,900186370,09001,"Wilton town, Fairfield County, Connecticut",2000,628,160,366,23774,24140,34,74,22878,municipality,CT
47,900186370,09001,"Wilton town, Fairfield County, Connecticut",2010,533,123,333,12047,12380,17,68,11306,municipality,CT
48,900502760,09005,"Barkhamsted town, Litchfield County, Connecticut",2000,16,4,32,5210,5242,16,18,5156,municipality,CT
49,900502760,09005,"Barkhamsted town, Litchfield County, Connecticut",2010,15,6,32,2877,2909,6,24,2826,municipality,CT
50,900504930,09005,"Bethlehem town, Litchfield County, Connecticut",2000,32,12,28,5090,5118,22,36,4988,municipality,CT
51,900504930,09005,"Bethlehem town, Litchfield County, Connecticut",2010,15,12,37,2823,2860,6,21,2769,municipality,CT
52,900508210,09005,"Bridgewater town, Litchfield County, Connecticut",2000,24,20,14,2828,2842,2,22,2760,municipality,CT
53,900508210,09005,"Bridgewater town, Litchfield County, Connecticut",2010,13,9,18,1385,1403,5,4,1354,municipality,CT
54,900510940,09005,"Canaan town, Litchfield County, Connecticut",2000,4,30,4,1648,1652,8,10,1596,municipality,CT
55,900510940,09005,"Canaan town, Litchfield County, Connecticut",2010,1,7,10,1009,1019,2,9,990,municipality,CT
56,900516050,09005,"Colebrook town, Litchfield County, Connecticut",2000,12,16,36,2184,2220,0,2,2154,municipality,CT
57,900516050,09005,"Colebrook town, Litchfield County, Connecticut",2010,9,2,10,1162,1172,1,7,1143,municipality,CT
58,900517240,09005,"Cornwall town, Litchfield County, Connecticut",2000,14,4,22,2146,2168,2,16,2110,municipality,CT
59,900517240,09005,"Cornwall town, Litchfield County, Connecticut",2010,6,2,17,1124,1141,1,9,1106,municipality,CT
60,900532290,09005,"Goshen town, Litchfield County, Connecticut",2000,34,14,52,4116,4168,6,16,4046,municipality,CT
61,900532290,09005,"Goshen town, Litchfield County, Connecticut",2010,25,7,42,2319,2361,4,8,2275,municipality,CT
62,900537280,09005,"Harwinton town, Litchfield County, Connecticut",2000,28,8,44,7874,7918,18,16,7804,municipality,CT
63,900537280,09005,"Harwinton town, Litchfield County, Connecticut",2010,29,10,46,4311,4357,6,13,4253,municipality,CT
64,900540290,09005,"Kent town, Litchfield County, Connecticut",2000,24,24,92,4318,4410,38,26,4206,municipality,CT
65,900540290,09005,"Kent town, Litchfield County, Connecticut",2010,39,29,61,2353,2414,16,18,2251,municipality,CT
66,900543370,09005,"Litchfield town, Litchfield County, Connecticut",2000,44,52,92,12348,12440,46,62,12144,municipality,CT
67,900543370,09005,"Litchfield town, Litchfield County, Connecticut",2010,51,35,105,6574,6679,19,52,6417,municipality,CT
68,900549460,09005,"Morris town, Litchfield County, Connecticut",2000,22,22,24,3448,3472,12,24,3368,municipality,CT
69,900549460,09005,"Morris town, Litchfield County, Connecticut",2010,17,11,28,1876,1904,2,16,1830,municipality,CT
70,900551350,09005,"New Hartford town, Litchfield County, Connecticut",2000,64,46,90,8808,8898,14,22,8662,municipality,CT
71,900551350,09005,"New Hartford town, Litchfield County, Connecticut",2010,52,15,65,5273,5338,5,31,5170,municipality,CT
72,900552630,09005,"New Milford town, Litchfield County, Connecticut",2000,690,568,970,38400,39370,134,406,36602,municipality,CT
73,900552630,09005,"New Milford town, Litchfield County, Connecticut",2010,530,360,1127,20176,21303,92,186,19008,municipality,CT
74,900553470,09005,"Norfolk town, Litchfield County, Connecticut",2000,14,16,22,2512,2534,20,4,2458,municipality,CT
75,900553470,09005,"Norfolk town, Litchfield County, Connecticut",2010,5,12,15,1333,1348,3,4,1309,municipality,CT
76,900554030,09005,"North Canaan town, Litchfield County, Connecticut",2000,4,64,106,5034,5140,6,38,4922,municipality,CT
77,900554030,09005,"North Canaan town, Litchfield County, Connecticut",2010,6,30,139,2488,2627,4,14,2434,municipality,CT
78,900560750,09005,"Plymouth town, Litchfield County, Connecticut",2000,62,110,182,17090,17272,42,114,16762,municipality,CT
79,900560750,09005,"Plymouth town, Litchfield County, Connecticut",2010,69,73,227,9309,9536,22,87,9058,municipality,CT
