,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
879,3403931980,34039,"Hillside township, Union County, New Jersey",2010,482,8259,2789,13538,16327,190,265,4342,municipality,INJ
880,3403936690,34039,"Kenilworth borough, Union County, New Jersey",2000,302,262,950,11208,12158,6,84,10554,municipality,INJ
881,3403936690,34039,"Kenilworth borough, Union County, New Jersey",2010,227,147,846,5341,6187,20,46,4901,municipality,INJ
882,3403940350,34039,"Linden city, Union County, New Jersey",2000,1324,12370,7950,53146,61096,238,1374,37840,municipality,INJ
883,3403940350,34039,"Linden city, Union County, New Jersey",2010,844,7597,7288,24377,31665,168,383,15385,municipality,INJ
884,3403948510,34039,"Mountainside borough, Union County, New Jersey",2000,280,96,270,10150,10420,12,34,9728,municipality,INJ
885,3403948510,34039,"Mountainside borough, Union County, New Jersey",2010,239,75,267,4864,5131,4,23,4523,municipality,INJ
886,3403951810,34039,"New Providence borough, Union County, New Jersey",2000,1304,168,576,16966,17542,14,78,15402,municipality,INJ
887,3403951810,34039,"New Providence borough, Union County, New Jersey",2010,853,118,546,8303,8849,18,55,7259,municipality,INJ
888,3403959190,34039,"Plainfield city, Union County, New Jersey",2000,698,39960,17468,51856,69324,364,1292,9542,municipality,INJ
889,3403959190,34039,"Plainfield city, Union County, New Jersey",2010,367,18006,14220,22727,36947,209,502,3643,municipality,INJ
890,3403961530,34039,"Rahway city, Union County, New Jersey",2000,1372,9888,5080,35260,40340,206,730,23064,municipality,INJ
891,3403961530,34039,"Rahway city, Union County, New Jersey",2010,958,6025,4511,16872,21383,81,294,9514,municipality,INJ
892,3403964620,34039,"Roselle borough, Union County, New Jersey",2000,864,14878,5144,26538,31682,182,738,9876,municipality,INJ
893,3403964620,34039,"Roselle borough, Union County, New Jersey",2010,390,8361,4027,12105,16132,84,212,3058,municipality,INJ
894,3403964650,34039,"Roselle Park borough, Union County, New Jersey",2000,1810,450,3118,17538,20656,32,260,14986,municipality,INJ
895,3403964650,34039,"Roselle Park borough, Union County, New Jersey",2010,1049,511,2686,7634,10320,20,87,5967,municipality,INJ
896,3403966060,34039,"Scotch Plains township, Union County, New Jersey",2000,2414,3826,1208,32726,33934,46,324,26116,municipality,INJ
897,3403966060,34039,"Scotch Plains township, Union County, New Jersey",2010,1293,1955,1072,16348,17420,57,190,12853,municipality,INJ
898,3403970020,34039,"Springfield township, Union County, New Jersey",2000,1032,816,900,22026,22926,34,150,19994,municipality,INJ
899,3403970020,34039,"Springfield township, Union County, New Jersey",2010,899,745,1057,11429,12486,19,96,9670,municipality,INJ
900,3403971430,34039,"Summit city, Union County, New Jersey",2000,1386,1342,3152,27716,30868,40,172,24776,municipality,INJ
901,3403971430,34039,"Summit city, Union County, New Jersey",2010,984,736,2084,13140,15224,33,115,11272,municipality,INJ
902,3403974480,34039,"Union township, Union County, New Jersey",2000,5968,14758,6780,77792,84572,286,1224,55556,municipality,INJ
903,3403974480,34039,"Union township, Union County, New Jersey",2010,4613,11557,6172,38521,44693,283,556,21512,municipality,INJ
904,3403979040,34039,"Westfield town, Union County, New Jersey",2000,1736,1730,1132,41338,42470,94,272,37506,municipality,INJ
905,3403979040,34039,"Westfield town, Union County, New Jersey",2010,1202,745,949,20268,21217,47,162,18112,municipality,INJ
906,3403981650,34039,"Winfield township, Union County, New Jersey",2000,4,4,34,2362,2396,6,26,2322,municipality,INJ
907,3403981650,34039,"Winfield township, Union County, New Jersey",2010,2,9,54,1162,1216,3,7,1141,municipality,INJ
908,3404100670,34041,"Allamuchy township, Warren County, New Jersey",2000,104,62,142,6142,6284,16,24,5936,municipality,ONJ
909,3404100670,34041,"Allamuchy township, Warren County, New Jersey",2010,86,57,149,3376,3525,7,22,3204,municipality,ONJ
910,3404101030,34041,"Alpha borough, Warren County, New Jersey",2000,36,10,50,3702,3752,10,18,3628,municipality,ONJ
911,3404101030,34041,"Alpha borough, Warren County, New Jersey",2010,24,36,67,1764,1831,1,16,1687,municipality,ONJ
912,3404104990,34041,"Belvidere town, Warren County, New Jersey",2000,24,22,86,3896,3982,10,18,3822,municipality,ONJ
913,3404104990,34041,"Belvidere town, Warren County, New Jersey",2010,16,20,66,1936,2002,2,18,1880,municipality,ONJ
914,3404106160,34041,"Blairstown township, Warren County, New Jersey",2000,36,22,158,8398,8556,14,26,8300,municipality,ONJ
915,3404106160,34041,"Blairstown township, Warren County, New Jersey",2010,42,41,148,4393,4541,6,23,4281,municipality,ONJ
916,3404124960,34041,"Franklin township, Warren County, New Jersey",2000,30,26,58,3882,3940,4,28,3794,municipality,ONJ
917,3404124960,34041,"Franklin township, Warren County, New Jersey",2010,53,28,79,2306,2385,4,20,2201,municipality,ONJ
918,3404125320,34041,"Frelinghuysen township, Warren County, New Jersey",2000,10,14,68,3012,3080,8,12,2968,municipality,ONJ
919,3404125320,34041,"Frelinghuysen township, Warren County, New Jersey",2010,8,11,44,1704,1748,1,10,1674,municipality,ONJ
920,3404128260,34041,"Greenwich township, Warren County, New Jersey",2000,126,136,206,5588,5794,14,26,5286,municipality,ONJ
921,3404128260,34041,"Greenwich township, Warren County, New Jersey",2010,204,220,226,3600,3826,11,30,3135,municipality,ONJ
922,3404128710,34041,"Hackettstown town, Warren County, New Jersey",2000,460,356,1168,14918,16086,60,258,13784,municipality,ONJ
923,3404128710,34041,"Hackettstown town, Warren County, New Jersey",2010,354,177,1078,6669,7747,26,56,6056,municipality,ONJ
924,3404129820,34041,"Hardwick township, Warren County, New Jersey",2000,8,12,46,2104,2150,4,6,2074,municipality,ONJ
925,3404129820,34041,"Hardwick township, Warren County, New Jersey",2010,9,10,41,1234,1275,0,5,1210,municipality,ONJ
926,3404130090,34041,"Harmony township, Warren County, New Jersey",2000,8,28,50,4092,4142,4,18,4034,municipality,ONJ
927,3404130090,34041,"Harmony township, Warren County, New Jersey",2010,5,14,22,2086,2108,4,8,2055,municipality,ONJ
928,3404133060,34041,"Hope township, Warren County, New Jersey",2000,12,8,40,2742,2782,0,18,2704,municipality,ONJ
929,3404133060,34041,"Hope township, Warren County, New Jersey",2010,21,9,50,1461,1511,1,3,1427,municipality,ONJ
930,3404133930,34041,"Independence township, Warren County, New Jersey",2000,140,98,278,7930,8208,14,50,7628,municipality,ONJ
931,3404133930,34041,"Independence township, Warren County, New Jersey",2010,98,55,205,4133,4338,13,32,3935,municipality,ONJ
932,3404137320,34041,"Knowlton township, Warren County, New Jersey",2000,18,20,58,4250,4308,6,28,4178,municipality,ONJ
933,3404137320,34041,"Knowlton township, Warren County, New Jersey",2010,16,22,61,2281,2342,10,16,2217,municipality,ONJ
934,3404140110,34041,"Liberty township, Warren County, New Jersey",2000,18,14,118,3844,3962,6,26,3780,municipality,ONJ
935,3404140110,34041,"Liberty township, Warren County, New Jersey",2010,38,19,76,2152,2228,4,9,2082,municipality,ONJ
936,3404141490,34041,"Lopatcong township, Warren County, New Jersey",2000,138,92,150,8552,8702,8,24,8290,municipality,ONJ
937,3404141490,34041,"Lopatcong township, Warren County, New Jersey",2010,228,341,313,5849,6162,14,48,5218,municipality,ONJ
938,3404143320,34041,"Mansfield township, Warren County, New Jersey",2000,100,422,382,9332,9714,36,130,8644,municipality,ONJ
939,3404143320,34041,"Mansfield township, Warren County, New Jersey",2010,184,276,577,5382,5959,20,52,4850,municipality,ONJ
940,3404155530,34041,"Oxford township, Warren County, New Jersey",2000,16,40,100,3246,3346,2,16,3172,municipality,ONJ
941,3404155530,34041,"Oxford township, Warren County, New Jersey",2010,30,34,60,1850,1910,1,12,1773,municipality,ONJ
942,3404158350,34041,"Phillipsburg town, Warren County, New Jersey",2000,190,604,978,21278,22256,40,194,20250,municipality,ONJ
943,3404158350,34041,"Phillipsburg town, Warren County, New Jersey",2010,173,645,1020,10076,11096,25,125,9108,municipality,ONJ
944,3404159820,34041,"Pohatcong township, Warren County, New Jersey",2000,18,20,88,5154,5242,2,16,5098,municipality,ONJ
945,3404159820,34041,"Pohatcong township, Warren County, New Jersey",2010,24,36,77,2507,2584,2,20,2425,municipality,ONJ
946,3404177270,34041,"Washington borough, Warren County, New Jersey",2000,152,336,386,9478,9864,30,92,8868,municipality,ONJ
947,3404177270,34041,"Washington borough, Warren County, New Jersey",2010,155,267,349,4565,4914,9,55,4079,municipality,ONJ
948,3404177300,34041,"Washington township, Warren County, New Jersey",2000,78,118,178,8568,8746,12,42,8318,municipality,ONJ
949,3404177300,34041,"Washington township, Warren County, New Jersey",2010,94,92,173,4826,4999,11,27,4602,municipality,ONJ
950,3404180570,34041,"White township, Warren County, New Jersey",2000,36,84,120,6478,6598,16,60,6282,municipality,ONJ
951,3404180570,34041,"White township, Warren County, New Jersey",2010,26,76,94,3959,4053,8,21,3828,municipality,ONJ
952,3600508510,36005,"Bronx borough, Bronx County, New York",2000,57830,579480,847144,1023412,1870556,16210,39192,330700,municipality,NYC
953,3600508510,36005,"Bronx borough, Bronx County, New York",2010,36525,309709,520397,496515,1016912,8657,11419,130205,municipality,NYC
954,3602701693,36027,"Amenia town, Dutchess County, New York",2000,32,178,172,6008,6180,34,74,5690,municipality,MHV
955,3602701693,36027,"Amenia town, Dutchess County, New York",2010,48,143,243,3286,3529,15,41,3039,municipality,MHV
956,3602705100,36027,"Beacon city, Dutchess County, New York",2000,254,3532,2920,17210,20130,82,270,13072,municipality,MHV
957,3602705100,36027,"Beacon city, Dutchess County, New York",2010,209,2654,2314,10115,12429,81,195,6976,municipality,MHV
958,3602705452,36027,"Beekman town, Dutchess County, New York",2000,274,348,726,15098,15824,50,136,14290,municipality,MHV
959,3602705452,36027,"Beekman town, Dutchess County, New York",2010,272,1447,1040,10106,11146,77,76,8234,municipality,MHV
960,3602716408,36027,"Clinton town, Dutchess County, New York",2000,52,92,114,5922,6036,16,22,5740,municipality,MHV
961,3602716408,36027,"Clinton town, Dutchess County, New York",2010,38,96,114,3255,3369,12,20,3089,municipality,MHV
962,3602720819,36027,"Dover town, Dutchess County, New York",2000,114,606,618,11516,12134,60,148,10588,municipality,MHV
963,3602720819,36027,"Dover town, Dutchess County, New York",2010,82,289,817,5815,6632,16,81,5347,municipality,MHV
964,3602721996,36027,"East Fishkill town, Dutchess County, New York",2000,1012,758,1306,34648,35954,64,308,32506,municipality,MHV
965,3602721996,36027,"East Fishkill town, Dutchess County, New York",2010,841,657,1451,19765,21216,64,169,18034,municipality,MHV
966,3602725978,36027,"Fishkill town, Dutchess County, New York",2000,942,5038,3542,29566,33108,96,112,23378,municipality,MHV
967,3602725978,36027,"Fishkill town, Dutchess County, New York",2010,1217,1767,1708,16043,17751,74,168,12817,municipality,MHV
968,3602737209,36027,"Hyde Park town, Dutchess County, New York",2000,452,1146,806,30588,31394,118,366,28506,municipality,MHV
969,3602737209,36027,"Hyde Park town, Dutchess County, New York",2010,453,913,847,16529,17376,56,213,14894,municipality,MHV
970,3602740299,36027,"La Grange town, Dutchess County, New York",2000,628,500,728,20612,21340,48,174,19262,municipality,MHV
971,3602740299,36027,"La Grange town, Dutchess County, New York",2010,462,406,701,11009,11710,41,86,10014,municipality,MHV
972,3602747207,36027,"Milan town, Dutchess County, New York",2000,64,2336,1392,6434,7826,58,38,3938,municipality,MHV
973,3602747207,36027,"Milan town, Dutchess County, New York",2010,11,28,63,1785,1848,7,9,1730,municipality,MHV
974,3602751891,36027,"North East town, Dutchess County, New York",2000,28,68,134,4486,4620,8,28,4354,municipality,MHV
975,3602751891,36027,"North East town, Dutchess County, New York",2010,28,49,203,2204,2407,7,20,2100,municipality,MHV
976,3602756825,36027,"Pawling town, Dutchess County, New York",2000,130,160,510,10724,11234,12,66,10356,municipality,MHV
977,3602756825,36027,"Pawling town, Dutchess County, New York",2010,104,154,610,5769,6379,14,45,5452,municipality,MHV
978,3602758156,36027,"Pine Plains town, Dutchess County, New York",2000,18,36,50,3758,3808,26,28,3650,municipality,MHV
979,3602758156,36027,"Pine Plains town, Dutchess County, New York",2010,19,15,106,1844,1950,4,25,1781,municipality,MHV
980,3602758695,36027,"Pleasant Valley town, Dutchess County, New York",2000,86,210,278,13122,13400,24,100,12702,municipality,MHV
981,3602758695,36027,"Pleasant Valley town, Dutchess County, New York",2010,90,195,298,7128,7426,18,86,6739,municipality,MHV
982,3602759641,36027,"Poughkeepsie city, Dutchess County, New York",2000,750,13032,4196,40046,44242,204,1118,24942,municipality,MHV
983,3602759641,36027,"Poughkeepsie city, Dutchess County, New York",2010,432,7320,4235,21233,25468,124,519,12838,municipality,MHV
984,3602759652,36027,"Poughkeepsie town, Dutchess County, New York",2000,3334,4718,2982,63256,66238,156,796,54252,municipality,MHV
985,3602759652,36027,"Poughkeepsie town, Dutchess County, New York",2010,1972,2986,2837,31411,34248,119,588,25746,municipality,MHV
986,3602760905,36027,"Red Hook town, Dutchess County, New York",2000,318,206,394,15242,15636,52,166,14500,municipality,MHV
987,3602760905,36027,"Red Hook town, Dutchess County, New York",2010,204,155,429,8663,9092,33,119,8152,municipality,MHV
988,3602761357,36027,"Rhinebeck town, Dutchess County, New York",2000,148,376,428,11950,12378,12,78,11336,municipality,MHV
989,3602761357,36027,"Rhinebeck town, Dutchess County, New York",2010,105,138,264,6016,6280,16,43,5714,municipality,MHV
990,3602770662,36027,"Stanford town, Dutchess County, New York",2000,64,88,138,5294,5432,24,44,5074,municipality,MHV
991,3602770662,36027,"Stanford town, Dutchess County, New York",2010,25,53,146,2823,2969,19,31,2695,municipality,MHV
992,3602776166,36027,"Union Vale town, Dutchess County, New York",2000,66,186,214,6252,6466,4,46,5950,municipality,MHV
993,3602776166,36027,"Union Vale town, Dutchess County, New York",2010,70,57,149,3508,3657,1,28,3352,municipality,MHV
994,3602778157,36027,"Wappinger town, Dutchess County, New York",2000,1666,1750,2684,36528,39212,106,350,32656,municipality,MHV
995,3602778157,36027,"Wappinger town, Dutchess County, New York",2010,1007,1192,2567,18397,20964,66,237,15895,municipality,MHV
996,3602778388,36027,"Washington town, Dutchess County, New York",2000,38,158,166,7006,7172,8,46,6756,municipality,MHV
997,3602778388,36027,"Washington town, Dutchess County, New York",2010,44,78,169,3504,3673,18,29,3335,municipality,MHV
998,3604710022,36047,"Brooklyn borough, Kings County, New York",2000,278032,1185570,664824,2940830,3605654,27432,98790,1351006,municipality,NYC
999,3604710022,36047,"Brooklyn borough, Kings County, New York",2010,202681,606643,359871,1550451,1910322,11245,27849,702033,municipality,NYC
1000,3601011,36059,"Albertson CDP, New York",2000,528,6,207,3825,4032,3,50,3238,municipality,LI
1001,3601011,36059,"Albertson CDP, New York",2010,916,10,270,3778,4048,22,86,2744,municipality,LI
1002,3602968,36059,"Atlantic Beach village, New York",2000,12,10,43,1555,1598,0,10,1523,municipality,LI
1003,3602968,36059,"Atlantic Beach village, New York",2010,14,10,52,1501,1553,1,2,1474,municipality,LI
1004,3604143,36059,"Baldwin CDP, New York",2000,802,3986,2221,21182,23403,106,362,15926,municipality,LI
1005,3604143,36059,"Baldwin CDP, New York",2010,1079,6917,4030,20304,24334,198,386,11724,municipality,LI
1006,3604550,36059,"Barnum Island CDP, New York",2000,44,8,186,1853,2039,6,23,1772,municipality,LI
1007,3604550,36059,"Barnum Island CDP, New York",2010,57,21,267,1720,1987,11,10,1621,municipality,LI
1008,3604803,36059,"Baxter Estates village, New York",2000,61,14,106,651,757,1,5,570,municipality,LI
1009,3604803,36059,"Baxter Estates village, New York",2010,53,7,136,641,777,1,6,574,municipality,LI
1010,3604891,36059,"Bay Park CDP, New York",2000,14,5,78,1722,1800,1,15,1687,municipality,LI
1011,3604891,36059,"Bay Park CDP, New York",2010,26,3,93,1650,1743,1,9,1611,municipality,LI
1012,3605034,36059,"Bayville village, New York",2000,92,20,241,5210,5451,6,15,5077,municipality,LI
1013,3605034,36059,"Bayville village, New York",2010,94,18,297,4923,5220,20,42,4749,municipality,LI
1014,3605639,36059,"Bellerose village, New York",2000,60,4,37,838,875,1,5,768,municipality,LI
1015,3605639,36059,"Bellerose village, New York",2010,41,23,76,793,869,4,8,717,municipality,LI
1016,3605661,36059,"Bellerose Terrace CDP, New York",2000,239,80,295,1262,1557,26,35,882,municipality,LI
1017,3605661,36059,"Bellerose Terrace CDP, New York",2010,452,126,408,1260,1668,28,23,631,municipality,LI
1018,3605738,36059,"Bellmore CDP, New York",2000,247,51,365,11918,12283,21,58,11541,municipality,LI
1019,3605738,36059,"Bellmore CDP, New York",2010,349,119,615,11709,12324,22,45,11174,municipality,LI
1020,3606387,36059,"Bethpage CDP, New York",2000,348,32,539,12251,12790,7,103,11761,municipality,LI
1021,3606387,36059,"Bethpage CDP, New York",2010,656,66,803,12105,12908,16,110,11257,municipality,LI
1022,3610132,36059,"Brookville village, New York",2000,101,27,39,1389,1428,3,18,1240,municipality,LI
1023,3610132,36059,"Brookville village, New York",2010,292,355,194,2701,2895,15,22,2017,municipality,LI
1024,3612419,36059,"Carle Place CDP, New York",2000,219,73,307,3744,4051,1,20,3431,municipality,LI
1025,3612419,36059,"Carle Place CDP, New York",2010,312,80,396,3531,3927,14,25,3100,municipality,LI
1026,3613233,36059,"Cedarhurst village, New York",2000,143,52,358,4259,4617,16,50,3998,municipality,LI
1027,3613233,36059,"Cedarhurst village, New York",2010,173,94,512,4156,4668,26,31,3832,municipality,LI
1028,3613618,36059,"Centre Island village, New York",2000,4,2,10,341,351,0,0,335,municipality,LI
1029,3613618,36059,"Centre Island village, New York",2010,7,0,18,310,328,3,0,300,municipality,LI
1030,3618597,36059,"Cove Neck village, New York",2000,9,0,7,214,221,0,0,205,municipality,LI
1031,3618597,36059,"Cove Neck village, New York",2010,4,1,10,204,214,0,1,198,municipality,LI
1032,3621578,36059,"East Atlantic Beach CDP, New York",2000,18,7,53,1721,1774,5,8,1683,municipality,LI
1033,3621578,36059,"East Atlantic Beach CDP, New York",2010,20,12,67,1613,1680,1,10,1570,municipality,LI
1034,3622260,36059,"East Hills village, New York",2000,247,42,78,4721,4799,14,29,4389,municipality,LI
1035,3622260,36059,"East Hills village, New York",2010,359,59,112,4781,4893,3,54,4306,municipality,LI
1036,3622480,36059,"East Massapequa CDP, New York",2000,307,1631,1017,13635,14652,41,150,11506,municipality,LI
1037,3622480,36059,"East Massapequa CDP, New York",2010,338,1732,1382,13357,14739,52,147,11088,municipality,LI
1038,3622502,36059,"East Meadow CDP, New York",2000,1740,1217,1855,26848,28703,43,235,23613,municipality,LI
1039,3622502,36059,"East Meadow CDP, New York",2010,3260,1544,3282,26980,30262,81,256,21839,municipality,LI
1040,3622623,36059,"East Norwich CDP, New York",2000,52,12,63,1988,2051,0,6,1918,municipality,LI
1041,3622623,36059,"East Norwich CDP, New York",2010,72,13,74,1947,2021,1,13,1848,municipality,LI
1042,3622876,36059,"East Rockaway village, New York",2000,134,46,424,7518,7942,6,36,7296,municipality,LI
1043,3622876,36059,"East Rockaway village, New York",2010,162,91,531,7097,7628,14,33,6797,municipality,LI
1044,3623217,36059,"East Williston village, New York",2000,62,6,42,1754,1796,6,5,1675,municipality,LI
1045,3623217,36059,"East Williston village, New York",2010,78,6,54,1760,1814,0,6,1670,municipality,LI
1046,3624273,36059,"Elmont CDP, New York",2000,2100,7198,3166,20856,24022,278,698,10582,municipality,LI
1047,3624273,36059,"Elmont CDP, New York",2010,2796,10598,5309,20028,25337,363,478,5793,municipality,LI
1048,3625384,36059,"Farmingdale village, New York",2000,242,94,756,5861,6617,17,74,5434,municipality,LI
1049,3625384,36059,"Farmingdale village, New York",2010,344,149,830,5870,6700,21,38,5318,municipality,LI
1050,3626264,36059,"Floral Park village, New York",2000,438,40,556,11507,12063,29,56,10944,municipality,LI
1051,3626264,36059,"Floral Park village, New York",2010,814,156,936,11262,12198,46,101,10145,municipality,LI
1052,3626352,36059,"Flower Hill village, New York",2000,326,39,137,3195,3332,0,61,2769,municipality,LI
1053,3626352,36059,"Flower Hill village, New York",2010,433,31,192,3134,3326,3,58,2609,municipality,LI
1054,3627309,36059,"Franklin Square CDP, New York",2000,776,180,1446,21447,22893,62,191,20238,municipality,LI
1055,3627309,36059,"Franklin Square CDP, New York",2010,1565,614,2676,20435,23111,111,181,17964,municipality,LI
1056,3627485,36059,"Freeport village, New York",2000,458,9492,10046,22194,32240,167,568,11509,municipality,LI
1057,3627485,36059,"Freeport village, New York",2010,536,9904,12807,20045,32852,173,457,8975,municipality,LI
1058,3628178,36059,"Garden City village, New York",2000,537,222,418,15506,15924,22,89,14636,municipality,LI
1059,3628178,36059,"Garden City village, New York",2010,622,261,683,15779,16462,23,88,14785,municipality,LI
1060,3628189,36059,"Garden City Park CDP, New York",2000,1068,229,443,5421,5864,36,94,3994,municipality,LI
1061,3628189,36059,"Garden City Park CDP, New York",2010,1887,231,685,5450,6135,53,88,3191,municipality,LI
1062,3628200,36059,"Garden City South CDP, New York",2000,93,7,162,2927,3089,2,7,2818,municipality,LI
1063,3628200,36059,"Garden City South CDP, New York",2010,186,23,236,2896,3132,3,13,2671,municipality,LI
1064,3629113,36059,"Glen Cove city, New York",2000,845,1147,3821,17158,20979,47,239,14880,municipality,LI
1065,3629113,36059,"Glen Cove city, New York",2010,1039,1269,5413,15990,21403,72,176,13434,municipality,LI
1066,3629245,36059,"Glen Head CDP, New York",2000,65,17,162,3359,3521,2,17,3258,municipality,LI
1067,3629245,36059,"Glen Head CDP, New York",2010,126,29,278,3316,3594,9,27,3125,municipality,LI
1068,3629421,36059,"Glenwood Landing CDP, New York",2000,70,9,89,2524,2613,4,11,2430,municipality,LI
1069,3629421,36059,"Glenwood Landing CDP, New York",2010,103,19,163,2637,2800,3,9,2503,municipality,LI
1070,3630169,36059,"Great Neck village, New York",2000,324,193,611,6412,7023,23,168,5704,municipality,LI
1071,3630169,36059,"Great Neck village, New York",2010,499,152,750,6621,7371,11,233,5726,municipality,LI
1072,3630191,36059,"Great Neck Estates village, New York",2000,89,20,58,1956,2014,2,25,1820,municipality,LI
1073,3630191,36059,"Great Neck Estates village, New York",2010,207,19,58,1956,2014,6,25,1699,municipality,LI
1074,3630202,36059,"Great Neck Gardens CDP, New York",2000,53,7,18,763,781,1,14,688,municipality,LI
1075,3630202,36059,"Great Neck Gardens CDP, New York",2010,97,8,15,844,859,3,24,712,municipality,LI
1076,3630213,36059,"Great Neck Plaza village, New York",2000,161,84,365,5321,5686,11,78,4987,municipality,LI
1077,3630213,36059,"Great Neck Plaza village, New York",2010,564,80,407,5386,5793,18,75,4649,municipality,LI
1078,3630598,36059,"Greenvale CDP, New York",2000,191,254,273,1735,2008,14,44,1232,municipality,LI
1079,3630598,36059,"Greenvale CDP, New York",2010,148,18,107,719,826,0,25,528,municipality,LI
1080,3632094,36059,"Harbor Hills CDP, New York",2000,7,1,6,376,382,0,4,364,municipality,LI
1081,3632094,36059,"Harbor Hills CDP, New York",2010,22,0,8,386,394,0,2,362,municipality,LI
1082,3632105,36059,"Harbor Isle CDP, New York",2000,14,1,32,1014,1046,1,3,995,municipality,LI
1083,3632105,36059,"Harbor Isle CDP, New York",2010,18,2,47,987,1034,2,8,957,municipality,LI
1084,3633139,36059,"Hempstead village, New York",2000,634,20257,12813,28896,41709,260,897,6848,municipality,LI
1085,3633139,36059,"Hempstead village, New York",2010,570,18734,16934,23153,40087,197,535,3117,municipality,LI
1086,3634198,36059,"Herricks CDP, New York",2000,663,10,119,2984,3103,6,28,2277,municipality,LI
1087,3634198,36059,"Herricks CDP, New York",2010,1300,16,114,3114,3228,19,52,1727,municipality,LI
1088,3634286,36059,"Hewlett CDP, New York",2000,226,41,425,4934,5359,7,29,4631,municipality,LI
1089,3634286,36059,"Hewlett CDP, New York",2010,345,116,526,4736,5262,13,44,4218,municipality,LI
1090,3634297,36059,"Hewlett Bay Park village, New York",2000,13,7,18,340,358,1,2,317,municipality,LI
1091,3634297,36059,"Hewlett Bay Park village, New York",2010,19,0,16,287,303,2,0,266,municipality,LI
1092,3634308,36059,"Hewlett Harbor village, New York",2000,31,5,9,889,898,2,4,847,municipality,LI
1093,3634308,36059,"Hewlett Harbor village, New York",2010,37,8,20,903,923,6,3,849,municipality,LI
1094,3634319,36059,"Hewlett Neck village, New York",2000,1,4,5,332,337,0,0,327,municipality,LI
1095,3634319,36059,"Hewlett Neck village, New York",2010,6,10,7,306,313,0,2,288,municipality,LI
1096,3634374,36059,"Hicksville CDP, New York",2000,2701,381,2687,29272,31959,71,287,25832,municipality,LI
1097,3634374,36059,"Hicksville CDP, New York",2010,6214,629,4202,28584,32786,118,495,21128,municipality,LI
1098,3637583,36059,"Inwood CDP, New York",2000,133,1596,1587,5148,6735,48,154,3217,municipality,LI
1099,3637583,36059,"Inwood CDP, New York",2010,237,1610,2917,4306,7223,41,71,2347,municipality,LI
1100,3637847,36059,"Island Park village, New York",2000,36,28,615,3042,3657,10,54,2914,municipality,LI
1101,3637847,36059,"Island Park village, New York",2010,84,58,910,2820,3730,17,28,2633,municipality,LI
1102,3638539,36059,"Jericho CDP, New York",2000,940,127,221,9526,9747,8,82,8369,municipality,LI
1103,3638539,36059,"Jericho CDP, New York",2010,2317,187,284,9936,10220,12,88,7332,municipality,LI
1104,3639309,36059,"Kensington village, New York",2000,43,7,38,842,880,0,9,783,municipality,LI
1105,3639309,36059,"Kensington village, New York",2010,71,8,20,848,868,2,21,746,municipality,LI
1106,3639694,36059,"Kings Point village, New York",2000,150,42,90,3761,3851,8,129,3432,municipality,LI
1107,3639694,36059,"Kings Point village, New York",2010,140,40,69,3696,3765,5,144,3367,municipality,LI
1108,3640937,36059,"Lake Success village, New York",2000,316,112,30,2206,2236,4,15,1759,municipality,LI
1109,3640937,36059,"Lake Success village, New York",2010,551,92,63,2267,2330,8,26,1590,municipality,LI
1110,3641003,36059,"Lakeview CDP, New York",2000,16,3341,252,3770,4022,31,121,261,municipality,LI
1111,3641003,36059,"Lakeview CDP, New York",2010,34,3272,549,3535,4084,31,85,113,municipality,LI
1112,3641432,36059,"Lattingtown village, New York",2000,53,9,28,1345,1373,2,11,1270,municipality,LI
1113,3641432,36059,"Lattingtown village, New York",2010,41,7,32,1271,1303,0,14,1209,municipality,LI
1114,3641487,36059,"Laurel Hollow village, New York",2000,96,13,30,1313,1343,0,9,1195,municipality,LI
1115,3641487,36059,"Laurel Hollow village, New York",2010,128,23,27,1376,1403,3,11,1211,municipality,LI
1116,3641553,36059,"Lawrence village, New York",2000,81,52,162,4231,4393,3,22,4073,municipality,LI
1117,3641553,36059,"Lawrence village, New York",2010,93,70,148,4353,4501,2,14,4174,municipality,LI
1118,3642081,36059,"Levittown CDP, New York",2000,1088,164,2397,37026,39423,66,199,35509,municipality,LI
1119,3642081,36059,"Levittown CDP, New York",2010,2176,286,4063,35963,40026,115,305,33081,municipality,LI
1120,3642279,36059,"Lido Beach CDP, New York",2000,36,12,60,2148,2208,2,19,2079,municipality,LI
1121,3642279,36059,"Lido Beach CDP, New York",2010,37,16,73,2211,2284,1,16,2141,municipality,LI
1122,3643192,36059,"Locust Valley CDP, New York",2000,50,94,377,2307,2684,3,23,2137,municipality,LI
1123,3643192,36059,"Locust Valley CDP, New York",2010,55,79,406,2101,2507,4,18,1945,municipality,LI
1124,3643335,36059,"Long Beach city, New York",2000,642,1430,3300,25585,28885,174,311,23028,municipality,LI
1125,3643335,36059,"Long Beach city, New York",2010,725,1476,3558,24295,27853,156,239,21699,municipality,LI
1126,3643874,36059,"Lynbrook village, New York",2000,423,122,1165,14273,15438,29,105,13594,municipality,LI
1127,3643874,36059,"Lynbrook village, New York",2010,670,454,1798,13396,15194,39,100,12133,municipality,LI
1128,3644787,36059,"Malverne village, New York",2000,196,109,367,6502,6869,4,49,6144,municipality,LI
1129,3644787,36059,"Malverne village, New York",2010,260,188,532,6234,6766,20,44,5722,municipality,LI
