,COUNTY,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,STATE,SUMLEV,id,name
689,071,528,1139,1474,8782,10256,132,330,6653,36,60,3607134550,Highlands town
690,071,963,4783,8976,14052,23028,253,673,7380,36,60,3607147042,Middletown city
691,071,42,101,422,3110,3532,25,78,2864,36,60,3607147713,Minisink town
692,071,886,1098,3487,12319,15806,183,407,9745,36,60,3607147999,Monroe town
693,071,342,1283,2933,15201,18134,127,588,12861,36,60,3607148153,Montgomery town
694,071,231,688,857,4444,5301,55,120,3350,36,60,3607148857,Mount Hope town
695,071,211,5582,10089,10756,20845,165,545,4253,36,60,3607150034,Newburgh city
696,071,774,3238,5038,20704,25742,198,751,15743,36,60,3607150045,Newburgh town
697,071,829,2994,4999,16836,21835,162,640,12211,36,60,3607150848,New Windsor town
698,071,8,43,205,13421,13626,3252,282,9836,36,60,3607156185,Palm Tree town
699,071,138,506,796,5894,6690,122,299,4829,36,60,3607159388,Port Jervis city
700,071,157,134,338,2826,3164,20,56,2459,36,60,3607175781,Tuxedo town
701,071,1005,4440,6029,18174,24203,291,727,11711,36,60,3607177992,Wallkill town
702,071,489,1015,3107,22701,25808,189,679,20329,36,60,3607178366,Warwick town
703,071,152,332,896,4967,5863,47,155,4281,36,60,3607178839,Wawayanda town
704,071,596,760,1761,7013,8774,177,204,5276,36,60,3607182755,Woodbury town
766,079,563,590,3604,23070,26674,138,522,21257,36,60,3607912529,Carmel town
767,079,209,282,1946,8449,10395,80,240,7638,36,60,3607939331,Kent town
768,079,208,394,1921,7579,9500,42,240,6695,36,60,3607956748,Patterson town
769,079,182,117,639,7249,7888,38,220,6692,36,60,3607957584,Philipstown town
770,079,210,227,1317,8037,9354,68,242,7290,36,60,3607960147,Putnam Valley town
771,079,360,358,2930,11529,14459,100,264,10447,36,60,3607968924,Southeast town
772,081,538284,308971,516054,1433415,1949469,50589,64694,470877,36,60,3608160323,Queens borough
789,085,46237,35179,68231,321162,389393,2807,7490,229449,36,60,3608570915,Staten Island borough
790,087,8114,6615,10983,57471,68454,472,1307,40963,36,60,3608715968,Clarkstown town
791,087,1411,4221,13053,16576,29629,162,506,10276,36,60,3608732765,Haverstraw town
792,087,2925,2146,4621,34619,39240,211,769,28568,36,60,3608755211,Orangetown town
793,087,3697,13378,14842,75518,90360,1179,1788,55476,36,60,3608760510,Ramapo town
794,087,406,664,2153,9680,11833,76,266,8268,36,60,3608771674,Stony Point town
924,103,7322,26102,36522,136992,173514,1503,3855,98210,36,60,3610304000,Babylon town
925,103,18962,23621,58329,330329,388658,2499,9623,275624,36,60,3610310000,Brookhaven town
926,103,402,698,5574,17585,23159,181,498,15806,36,60,3610322194,East Hampton town
927,103,10691,6834,21554,141028,162582,860,3074,119569,36,60,3610337000,Huntington town
928,103,8498,21216,84928,180215,265143,2047,4729,143725,36,60,3610338000,Islip town
929,103,0,51,61,261,322,163,22,25,36,60,3610359106,Poospatuck Reservation
930,103,352,1774,5607,23563,29170,148,592,20697,36,60,3610361984,Riverhead town
931,103,45,16,201,2600,2801,4,88,2447,36,60,3610366839,Shelter Island town
932,103,0,29,25,591,616,522,15,25,36,60,3610367059,Shinnecock Reservation
933,103,4275,1227,6845,86018,92863,450,1672,78394,36,60,3610368000,Smithtown town
934,103,939,1961,12001,43610,55611,432,1044,39234,36,60,3610368473,Southampton town
935,103,233,417,2446,17527,19973,80,393,16404,36,60,3610369463,Southold town
936,105,32,72,365,2997,3362,26,103,2764,36,60,3610506310,Bethel town
937,105,57,28,164,2344,2508,14,74,2171,36,60,3610511759,Callicoon town
938,105,7,15,56,1128,1184,7,44,1055,36,60,3610516661,Cochecton town
939,105,20,98,113,1683,1796,11,43,1511,36,60,3610520104,Delaware town
940,105,275,1585,2729,8263,10992,149,299,5955,36,60,3610525241,Fallsburg town
941,105,15,13,26,664,690,4,17,615,36,60,3610526528,Forestburgh town
942,105,10,20,49,941,990,8,23,880,36,60,3610527573,Fremont town
943,105,17,27,108,1758,1866,10,48,1656,36,60,3610534473,Highland town
944,105,140,554,1797,5996,7793,58,305,4939,36,60,3610542235,Liberty town
945,105,24,30,141,1676,1817,16,78,1528,36,60,3610543786,Lumberland town
946,105,165,332,1030,8591,9621,112,428,7554,36,60,3610544809,Mamakating town
947,105,36,34,144,2569,2713,10,71,2418,36,60,3610549847,Neversink town
948,105,48,39,208,2426,2634,16,97,2226,36,60,3610563176,Rockland town
949,105,475,2066,2582,10074,12656,170,534,6829,36,60,3610573627,Thompson town
950,105,24,26,70,1094,1164,5,37,1002,36,60,3610575759,Tusten town
970,111,3,12,21,405,426,6,28,356,36,60,3611120247,Denning town
971,111,91,307,413,7443,7856,45,304,6696,36,60,3611124691,Esopus town
972,111,84,63,315,4248,4563,29,189,3883,36,60,3611128255,Gardiner town
973,111,13,1,11,175,186,0,0,161,36,60,3611132116,Hardenburgh town
974,111,104,92,256,4910,5166,52,152,4510,36,60,3611137143,Hurley town
975,111,462,2272,2687,16530,19217,141,933,12722,36,60,3611139727,Kingston city
976,111,9,6,36,734,770,8,35,676,36,60,3611139738,Kingston town
977,111,261,531,799,8197,8996,77,267,7061,36,60,3611142994,Lloyd town
978,111,85,62,206,4576,4782,33,195,4201,36,60,3611145458,Marbletown town
979,111,76,367,674,6295,6969,24,185,5643,36,60,3611145722,Marlborough town
980,111,702,666,1508,10833,12341,229,366,8870,36,60,3611150562,New Paltz town
981,111,50,40,165,3400,3565,36,155,3119,36,60,3611154749,Olive town
982,111,82,405,1464,6808,8272,75,331,5915,36,60,3611158552,Plattekill town
983,111,95,97,333,5569,5902,49,260,5068,36,60,3611163011,Rochester town
984,111,56,88,254,4591,4845,41,192,4214,36,60,3611163737,Rosendale town
985,111,224,305,970,14743,15713,72,605,13537,36,60,3611165299,Saugerties town
986,111,40,33,152,2284,2436,39,95,2077,36,60,3611166597,Shandaken town
987,111,151,1028,1507,9806,11313,70,268,8289,36,60,3611166674,Shawangunk town
988,111,255,455,795,9643,10438,84,383,8466,36,60,3611175935,Ulster town
989,111,145,1410,2037,8203,10240,106,394,6148,36,60,3611178828,Wawarsing town
990,111,141,87,256,5205,5461,53,167,4757,36,60,3611183052,Woodstock town
1036,119,467,657,2028,11361,13389,86,291,9860,36,60,3611905320,Bedford town
1037,119,1333,2004,5995,27700,33695,218,945,23200,36,60,3611918410,Cortlandt town
1038,119,2298,837,2216,24169,26385,144,549,20341,36,60,3611921820,Eastchester town
1039,119,8967,8315,12003,62936,74939,605,1994,43055,36,60,3611930367,Greenburgh town
1040,119,2003,621,3221,18380,21601,143,556,15057,36,60,3611932413,Harrison town
1041,119,362,168,657,8905,9562,61,269,8045,36,60,3611942136,Lewisboro town
1042,119,1229,711,3956,19406,23362,196,584,16686,36,60,3611944842,Mamaroneck town
1043,119,444,383,3318,5402,8720,45,161,4369,36,60,3611948895,Mount Kisco town
1044,119,2012,1062,6723,27811,34534,187,645,23905,36,60,3611949011,Mount Pleasant town
1045,119,1166,35456,10276,48296,58572,1229,2468,7977,36,60,3611949121,Mount Vernon city
1046,119,1511,203,797,12358,13155,58,313,10273,36,60,3611950078,New Castle town
1047,119,3194,11715,19039,44150,63189,698,1592,26951,36,60,3611950617,New Rochelle city
1048,119,598,150,1029,8306,9335,33,192,7333,36,60,3611951693,North Castle town
1049,119,91,56,392,3799,4191,24,89,3539,36,60,3611953517,North Salem town
1050,119,1745,3468,10325,21460,31785,175,643,15429,36,60,3611955541,Ossining town
1051,119,626,3822,7915,12189,20104,155,567,7019,36,60,3611956979,Peekskill city
1052,119,633,530,1087,8244,9331,132,293,6656,36,60,3611957012,Pelham town
1053,119,128,58,244,3765,4009,15,129,3435,36,60,3611959685,Pound Ridge town
1054,119,820,151,936,10746,11682,48,312,9415,36,60,3611964309,Rye city
1055,119,1477,1426,17427,20631,38058,293,837,16598,36,60,3611964320,Rye town
1056,119,2571,168,594,12009,12603,82,380,8808,36,60,3611965442,Scarsdale town
1057,119,637,220,1313,16077,17390,44,340,14836,36,60,3611968308,Somers town
1058,119,4131,5644,14424,33814,48238,427,1154,22458,36,60,3611981677,White Plains city
1059,119,10843,26163,64473,101530,166003,1582,3358,59584,36,60,3611984000,Yonkers city
1060,119,1529,971,3587,25023,28610,159,565,21799,36,60,3611984077,Yorktown town
23888,000,1283,23,339,3862,4201,29,63,2464,36,160,3601011,Albertson CDP
23899,000,18,32,141,1370,1511,17,29,1274,36,160,3601594,Amagansett CDP
23902,000,137,728,1249,6856,8105,53,149,5789,36,160,3602044,Amityville village
23911,000,25,51,335,1744,2079,8,43,1617,36,160,3602374,Aquebogue CDP
23918,000,6,1,25,487,512,10,4,466,36,160,3602737,Asharoken village
23920,000,22,1,73,1432,1505,16,29,1364,36,160,3602968,Atlantic Beach village
23928,000,245,161,748,8993,9741,48,208,8331,36,160,3603408,Babylon village
23930,000,17,48,208,2075,2283,8,35,1967,36,160,3604055,Baiting Hollow CDP
23931,000,1284,9959,5503,21425,26928,448,901,8833,36,160,3604143,Baldwin CDP
23939,000,135,58,384,1823,2207,27,47,1556,36,160,3604550,Barnum Island CDP
23944,000,56,7,121,670,791,0,20,587,36,160,3604803,Baxter Estates village
23945,000,22,21,138,1565,1703,5,24,1493,36,160,3604891,Bay Park CDP
23946,000,110,123,511,6335,6846,23,140,5939,36,160,3604913,Bayport CDP
23947,000,946,3835,7852,14709,22561,266,523,9139,36,160,3604935,Bay Shore CDP
23948,000,116,29,498,5015,5513,19,90,4761,36,160,3605034,Bayville village
23949,000,224,791,2519,3541,6060,65,184,2277,36,160,3605039,Baywood CDP
23955,000,46,29,90,828,918,11,24,718,36,160,3605639,Bellerose village
23956,000,603,110,494,1323,1817,35,52,523,36,160,3605661,Bellerose Terrace CDP
23957,000,35,8,44,616,660,5,25,543,36,160,3605672,Belle Terre village
23959,000,564,187,1029,11790,12819,41,273,10725,36,160,3605738,Bellmore CDP
23960,000,34,43,81,1759,1840,9,54,1619,36,160,3605771,Bellport village
23964,000,1517,119,1230,12187,13417,49,206,10296,36,160,3606387,Bethpage CDP
23977,000,66,33,190,3990,4180,20,64,3807,36,160,3607069,Blue Point CDP
23978,000,261,126,724,7183,7907,14,122,6660,36,160,3607157,Bohemia CDP
23984,000,920,5423,33972,12327,46299,463,533,4988,36,160,3608026,Brentwood CDP
23990,000,47,175,289,2067,2356,11,44,1790,36,160,3608136,Bridgehampton CDP
23995,000,43,59,163,2288,2451,0,47,2139,36,160,3608323,Brightwaters village
24001,000,27,122,199,2555,2754,19,55,2332,36,160,3609000,Brookhaven CDP
24003,000,299,37,117,2389,2506,6,45,2002,36,160,3610132,Brookville village
24018,000,43,284,721,4265,4986,21,100,3817,36,160,3611781,Calverton CDP
24031,000,0,0,2,39,41,0,1,38,36,160,3612402,Captree CDP
24032,000,389,122,524,3519,4043,45,104,2859,36,160,3612419,Carle Place CDP
24046,000,159,121,749,4267,5016,33,75,3879,36,160,3613233,Cedarhurst village
