,id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
65,900953890,"North Branford town, New Haven County, Connecticut",9009,CT,194,123,438,10647,11085,26,199,10105,municipality,2020
66,900954870,"North Haven town, New Haven County, Connecticut",9009,CT,1144,697,1007,18764,19771,103,343,16477,municipality,2020
67,900957600,"Orange town, New Haven County, Connecticut",9009,CT,1094,204,452,10787,11239,54,271,9164,municipality,2020
68,900958300,"Oxford town, New Haven County, Connecticut",9009,CT,164,99,433,9749,10182,41,226,9219,municipality,2020
69,900962290,"Prospect town, New Haven County, Connecticut",9009,CT,82,150,289,7294,7583,27,198,6837,municipality,2020
70,900967610,"Seymour town, New Haven County, Connecticut",9009,CT,319,536,1165,12321,13486,78,322,11066,municipality,2020
71,900969640,"Southbury town, New Haven County, Connecticut",9009,CT,448,144,557,15973,16530,68,359,14954,municipality,2020
72,900978740,"Wallingford town, New Haven County, Connecticut",9009,CT,1353,642,3242,33014,36256,178,901,29940,municipality,2020
73,900980070,"Waterbury town, New Haven County, Connecticut",9009,CT,1771,16799,30304,55752,86056,1543,3033,32606,municipality,2020
74,900982870,"West Haven town, New Haven County, Connecticut",9009,CT,2083,9013,9264,35852,45116,361,1328,23067,municipality,2020
75,900987560,"Wolcott town, New Haven County, Connecticut",9009,CT,199,290,672,12391,13063,79,349,11474,municipality,2020
76,900987700,"Woodbridge town, New Haven County, Connecticut",9009,CT,867,207,334,6635,6969,66,164,5331,municipality,2020
77,3400300700,"Allendale borough, Bergen County, New Jersey",34003,INJ,612,38,326,4893,5219,14,103,4126,municipality,2020
78,3400301090,"Alpine borough, Bergen County, New Jersey",34003,INJ,459,41,89,1314,1403,3,29,782,municipality,2020
79,3400305170,"Bergenfield borough, Bergen County, New Jersey",34003,INJ,5993,1529,6721,15235,21956,202,313,7198,municipality,2020
80,3400306490,"Bogota borough, Bergen County, New Jersey",34003,INJ,613,464,3368,3616,6984,77,132,2330,municipality,2020
81,3400310480,"Carlstadt borough, Bergen County, New Jersey",34003,INJ,513,95,1155,4047,5202,38,92,3309,municipality,2020
82,3400313570,"Cliffside Park borough, Bergen County, New Jersey",34003,INJ,3289,540,6801,14305,21106,277,549,9650,municipality,2020
83,3400313810,"Closter borough, Bergen County, New Jersey",34003,INJ,2184,66,513,5938,6451,25,149,3514,municipality,2020
84,3400315820,"Cresskill borough, Bergen County, New Jersey",34003,INJ,2012,57,445,6323,6768,15,115,4124,municipality,2020
85,3400317530,"Demarest borough, Bergen County, New Jersey",34003,INJ,1130,31,186,3506,3692,23,78,2244,municipality,2020
86,3400318400,"Dumont borough, Bergen County, New Jersey",34003,INJ,2493,370,2732,11519,14251,79,282,8295,municipality,2020
87,3400319510,"East Rutherford borough, Bergen County, New Jersey",34003,INJ,1270,347,1936,6298,8234,92,157,4432,municipality,2020
88,3400320020,"Edgewater borough, Bergen County, New Jersey",34003,INJ,4005,622,1501,10116,11617,77,270,5142,municipality,2020
89,3400321300,"Elmwood Park borough, Bergen County, New Jersey",34003,INJ,1929,1099,4434,12765,17199,201,302,9234,municipality,2020
90,3400321450,"Emerson borough, Bergen County, New Jersey",34003,INJ,567,81,622,5133,5755,18,101,4366,municipality,2020
91,3400321480,"Englewood city, Bergen County, New Jersey",34003,INJ,2521,5934,7300,15913,23213,251,553,6654,municipality,2020
92,3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",34003,INJ,1982,76,260,3969,4229,14,49,1848,municipality,2020
93,3400322470,"Fair Lawn borough, Bergen County, New Jersey",34003,INJ,3297,600,3758,23254,27012,125,460,18772,municipality,2020
94,3400322560,"Fairview borough, Bergen County, New Jersey",34003,INJ,618,202,7516,4170,11686,172,234,2944,municipality,2020
95,3400324420,"Fort Lee borough, Bergen County, New Jersey",34003,INJ,13804,941,4152,29170,33322,195,557,13673,municipality,2020
96,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",34003,INJ,833,119,539,8024,8563,29,135,6908,municipality,2020
97,3400325770,"Garfield city, Bergen County, New Jersey",34003,INJ,803,1237,9208,16029,25237,163,305,13521,municipality,2020
98,3400326640,"Glen Rock borough, Bergen County, New Jersey",34003,INJ,1076,133,519,8172,8691,25,179,6759,municipality,2020
99,3400328680,"Hackensack city, Bergen County, New Jersey",34003,INJ,4031,7923,14785,23197,37982,362,678,10203,municipality,2020
100,3400330150,"Harrington Park borough, Bergen County, New Jersey",34003,INJ,743,18,185,3403,3588,14,65,2563,municipality,2020
101,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",34003,INJ,1131,270,1814,7858,9672,58,176,6223,municipality,2020
102,3400330540,"Haworth borough, Bergen County, New Jersey",34003,INJ,416,38,122,2431,2553,10,54,1913,municipality,2020
103,3400331920,"Hillsdale borough, Bergen County, New Jersey",34003,INJ,566,78,742,7077,7819,40,125,6268,municipality,2020
104,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",34003,INJ,236,22,184,2915,3099,19,32,2606,municipality,2020
105,3400340020,"Leonia borough, Bergen County, New Jersey",34003,INJ,2997,169,1207,6070,7277,26,123,2755,municipality,2020
106,3400340680,"Little Ferry borough, Bergen County, New Jersey",34003,INJ,2323,390,2666,6386,9052,65,169,3439,municipality,2020
107,3400341100,"Lodi borough, Bergen County, New Jersey",34003,INJ,1802,1592,8003,13001,21004,137,354,9116,municipality,2020
108,3400342090,"Lyndhurst township, Bergen County, New Jersey",34003,INJ,1377,505,4506,13882,18388,149,390,11461,municipality,2020
109,3400342750,"Mahwah township, Bergen County, New Jersey",34003,INJ,2196,592,1637,19726,21363,147,453,16338,municipality,2020
110,3400344880,"Maywood borough, Bergen County, New Jersey",34003,INJ,1142,450,1897,6183,8080,66,131,4394,municipality,2020
111,3400346110,"Midland Park borough, Bergen County, New Jersey",34003,INJ,189,59,489,5096,5585,24,88,4736,municipality,2020
112,3400347610,"Montvale borough, Bergen County, New Jersey",34003,INJ,938,98,436,6056,6492,15,110,4895,municipality,2020
113,3400347700,"Moonachie borough, Bergen County, New Jersey",34003,INJ,270,15,939,1547,2486,14,33,1215,municipality,2020
114,3400351660,"New Milford borough, Bergen County, New Jersey",34003,INJ,2824,618,2410,11166,13576,98,276,7350,municipality,2020
115,3400352320,"North Arlington borough, Bergen County, New Jersey",34003,INJ,956,230,3869,9578,13447,115,341,7936,municipality,2020
116,3400353430,"Northvale borough, Bergen County, New Jersey",34003,INJ,974,41,411,3350,3761,13,82,2240,municipality,2020
117,3400353610,"Norwood borough, Bergen County, New Jersey",34003,INJ,1366,51,284,4146,4430,5,68,2656,municipality,2020
118,3400353850,"Oakland borough, Bergen County, New Jersey",34003,INJ,479,104,791,9160,9951,33,226,8318,municipality,2020
119,3400354870,"Old Tappan borough, Bergen County, New Jersey",34003,INJ,1183,44,271,4279,4550,7,79,2966,municipality,2020
120,3400354990,"Oradell borough, Bergen County, New Jersey",34003,INJ,896,51,502,5793,6295,27,101,4718,municipality,2020
121,3400355770,"Palisades Park borough, Bergen County, New Jersey",34003,INJ,10443,213,3516,13422,16938,64,166,2536,municipality,2020
122,3400355950,"Paramus borough, Bergen County, New Jersey",34003,INJ,5459,356,2053,19538,21591,114,557,13052,municipality,2020
123,3400356130,"Park Ridge borough, Bergen County, New Jersey",34003,INJ,501,77,621,6490,7111,27,111,5774,municipality,2020
124,3400361680,"Ramsey borough, Bergen County, New Jersey",34003,INJ,893,100,905,10517,11422,51,180,9293,municipality,2020
125,3400362910,"Ridgefield borough, Bergen County, New Jersey",34003,INJ,2781,153,2489,6841,9330,93,156,3658,municipality,2020
126,3400362940,"Ridgefield Park village, Bergen County, New Jersey",34003,INJ,1207,523,4629,5972,10601,68,225,3949,municipality,2020
127,3400363000,"Ridgewood village, Bergen County, New Jersey",34003,INJ,3150,266,1309,17149,18458,65,449,13219,municipality,2020
128,3400363360,"River Edge borough, Bergen County, New Jersey",34003,INJ,2427,213,957,8107,9064,33,149,5285,municipality,2020
129,3400363690,"River Vale township, Bergen County, New Jersey",34003,INJ,736,95,502,7215,7717,27,131,6226,municipality,2020
130,3400363990,"Rochelle Park township, Bergen County, New Jersey",34003,INJ,510,163,1157,3654,4811,25,99,2857,municipality,2020
131,3400364170,"Rockleigh borough, Bergen County, New Jersey",34003,INJ,27,9,15,335,350,1,7,291,municipality,2020
132,3400365280,"Rutherford borough, Bergen County, New Jersey",34003,INJ,2115,551,2537,12507,15044,126,418,9297,municipality,2020
133,3400365340,"Saddle Brook township, Bergen County, New Jersey",34003,INJ,1015,361,1967,9619,11586,42,173,8028,municipality,2020
134,3400365400,"Saddle River borough, Bergen County, New Jersey",34003,INJ,367,54,156,2645,2801,23,55,2146,municipality,2020
135,3400368970,"South Hackensack township, Bergen County, New Jersey",34003,INJ,148,102,895,1229,2124,13,29,937,municipality,2020
136,3400372360,"Teaneck township, Bergen County, New Jersey",34003,INJ,3579,7636,6554,25214,31768,441,917,12641,municipality,2020
137,3400372420,"Tenafly borough, Bergen County, New Jersey",34003,INJ,3216,162,756,10107,10863,59,234,6436,municipality,2020
138,3400372480,"Teterboro borough, Bergen County, New Jersey",34003,INJ,1,5,16,28,44,0,1,21,municipality,2020
139,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",34003,INJ,898,94,354,5898,6252,21,145,4740,municipality,2020
140,3400376400,"Waldwick borough, Bergen County, New Jersey",34003,INJ,488,86,870,6810,7680,19,124,6093,municipality,2020
141,3400376490,"Wallington borough, Bergen County, New Jersey",34003,INJ,576,271,1677,8035,9712,81,120,6987,municipality,2020
142,3400377135,"Washington township, Bergen County, New Jersey",34003,INJ,461,68,526,6826,7352,13,112,6172,municipality,2020
143,3400380270,"Westwood borough, Bergen County, New Jersey",34003,INJ,724,373,1160,7822,8982,26,202,6497,municipality,2020
144,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",34003,INJ,402,46,282,4413,4695,14,89,3862,municipality,2020
145,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",34003,INJ,1310,266,1264,6867,8131,62,127,5102,municipality,2020
146,3400383050,"Wyckoff township, Bergen County, New Jersey",34003,INJ,654,63,955,11612,12567,19,242,10634,municipality,2020
147,3401304695,"Belleville township, Essex County, New Jersey",34013,INJ,3584,2512,14399,16333,30732,411,626,9200,municipality,2020
148,3401306260,"Bloomfield township, Essex County, New Jersey",34013,INJ,3817,8009,11794,30956,42750,598,1347,17185,municipality,2020
149,3401309250,"Caldwell borough, Essex County, New Jersey",34013,INJ,468,388,968,6511,7479,45,140,5470,municipality,2020
150,3401311200,"Cedar Grove township, Essex County, New Jersey",34013,INJ,837,268,1078,9432,10510,63,219,8045,municipality,2020
151,3401313045,"City of Orange township, Essex County, New Jersey",34013,INJ,251,16778,6973,19097,26070,209,943,916,municipality,2020
152,3401319390,"East Orange city, Essex County, New Jersey",34013,INJ,428,42375,6278,47318,53596,613,2643,1259,municipality,2020
153,3401321840,"Essex Fells borough, Essex County, New Jersey",34013,INJ,72,18,83,1594,1677,4,35,1465,municipality,2020
154,3401322385,"Fairfield township, Essex County, New Jersey",34013,INJ,275,24,475,5704,6179,19,99,5287,municipality,2020
155,3401326610,"Glen Ridge borough, Essex County, New Jersey",34013,INJ,424,232,329,5112,5441,30,202,4224,municipality,2020
156,3401334450,"Irvington township, Essex County, New Jersey",34013,INJ,361,36682,6168,39947,46115,373,1646,885,municipality,2020
157,3401340890,"Livingston township, Essex County, New Jersey",34013,INJ,6348,693,1094,22229,23323,140,384,14664,municipality,2020
158,3401343800,"Maplewood township, Essex County, New Jersey",34013,INJ,782,6048,1435,17341,18776,140,743,9628,municipality,2020
159,3401346380,"Millburn township, Essex County, New Jersey",34013,INJ,4627,332,652,14635,15287,92,369,9215,municipality,2020
160,3401347500,"Montclair township, Essex County, New Jersey",34013,INJ,1633,7432,3062,28318,31380,360,1255,17638,municipality,2020
161,3401351000,"Newark city, Essex County, New Jersey",34013,INJ,4188,111203,82955,152171,235126,5934,9609,21237,municipality,2020
162,3401352620,"North Caldwell borough, Essex County, New Jersey",34013,INJ,381,57,285,4758,5043,8,93,4219,municipality,2020
163,3401353680,"Nutley township, Essex County, New Jersey",34013,INJ,2755,761,4083,19989,24072,147,472,15854,municipality,2020
164,3401364590,"Roseland borough, Essex County, New Jersey",34013,INJ,421,152,278,4859,5137,26,93,4167,municipality,2020
165,3401369274,"South Orange Village township, Essex County, New Jersey",34013,INJ,1036,3172,1227,13333,14560,228,512,8385,municipality,2020
166,3401375815,"Verona township, Essex County, New Jersey",34013,INJ,552,273,921,10398,11319,44,229,9300,municipality,2020
167,3401378510,"West Caldwell township, Essex County, New Jersey",34013,INJ,376,111,647,7950,8597,44,188,7231,municipality,2020
168,3401379800,"West Orange township, Essex County, New Jersey",34013,INJ,2965,10655,6783,31556,38339,356,1273,16307,municipality,2020
169,3401703580,"Bayonne city, Hudson County, New Jersey",34017,INJ,5505,5500,15855,39992,55847,494,1314,27179,municipality,2020
170,3401719360,"East Newark borough, Hudson County, New Jersey",34017,INJ,231,49,1228,829,2057,58,57,434,municipality,2020
171,3401728650,"Guttenberg town, Hudson County, New Jersey",34017,INJ,921,304,6067,3526,9593,67,124,2110,municipality,2020
172,3401730210,"Harrison town, Hudson County, New Jersey",34017,INJ,4391,642,5864,10240,16104,401,646,4160,municipality,2020
173,3401732250,"Hoboken city, Hudson County, New Jersey",34017,INJ,5513,1885,6738,44284,51022,411,1291,35184,municipality,2020
174,3401736000,"Jersey City city, Hudson County, New Jersey",34017,INJ,68293,42352,55476,180269,235745,3750,6586,59288,municipality,2020
175,3401736510,"Kearny town, Hudson County, New Jersey",34017,INJ,1761,1118,15360,18139,33499,1038,1610,12612,municipality,2020
176,3401752470,"North Bergen township, Hudson County, New Jersey",34017,INJ,3692,1231,35685,15580,51265,409,658,9590,municipality,2020
