,id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
400,3403553280,"North Plainfield borough, Somerset County, New Jersey",34035,INJ,851,3441,8441,9165,17606,152,417,4304,municipality,2020
401,3403557300,"Peapack and Gladstone borough, Somerset County, New Jersey",34035,INJ,49,44,212,1755,1967,0,20,1642,municipality,2020
402,3403561980,"Raritan borough, Somerset County, New Jersey",34035,INJ,1209,186,1175,5063,6238,32,119,3517,municipality,2020
403,3403564320,"Rocky Hill borough, Somerset County, New Jersey",34035,INJ,21,1,37,516,553,3,12,479,municipality,2020
404,3403568460,"Somerville borough, Somerset County, New Jersey",34035,INJ,1184,963,2275,7710,9985,69,286,5208,municipality,2020
405,3403568730,"South Bound Brook borough, Somerset County, New Jersey",34035,INJ,329,410,1144,2771,3915,25,102,1905,municipality,2020
406,3403576940,"Warren township, Somerset County, New Jersey",34035,INJ,2538,203,804,11739,12543,70,333,8595,municipality,2020
407,3403577600,"Watchung borough, Somerset County, New Jersey",34035,INJ,758,234,346,4806,5152,44,152,3618,municipality,2020
408,3403701330,"Andover borough, Sussex County, New Jersey",34037,ONJ,5,13,45,453,498,2,18,415,municipality,2020
409,3403701360,"Andover township, Sussex County, New Jersey",34037,ONJ,178,158,366,4610,4976,35,130,4109,municipality,2020
410,3403707300,"Branchville borough, Sussex County, New Jersey",34037,ONJ,12,6,31,600,631,2,14,566,municipality,2020
411,3403709160,"Byram township, Sussex County, New Jersey",34037,ONJ,110,85,479,5905,6384,35,171,5504,municipality,2020
412,3403724810,"Frankford township, Sussex County, New Jersey",34037,ONJ,60,37,204,4197,4401,21,118,3961,municipality,2020
413,3403724930,"Franklin borough, Sussex County, New Jersey",34037,ONJ,55,82,429,3549,3978,21,140,3251,municipality,2020
414,3403725140,"Fredon township, Sussex County, New Jersey",34037,ONJ,48,20,117,2512,2629,15,61,2368,municipality,2020
415,3403727420,"Green township, Sussex County, New Jersey",34037,ONJ,56,47,209,2602,2811,24,63,2412,municipality,2020
416,3403729220,"Hamburg borough, Sussex County, New Jersey",34037,ONJ,75,76,240,2453,2693,17,84,2201,municipality,2020
417,3403729490,"Hampton township, Sussex County, New Jersey",34037,ONJ,62,22,189,3832,4021,18,113,3617,municipality,2020
418,3403729850,"Hardyston township, Sussex County, New Jersey",34037,ONJ,185,186,454,6279,6733,39,176,5693,municipality,2020
419,3403732910,"Hopatcong borough, Sussex County, New Jersey",34037,ONJ,304,335,1810,10087,11897,91,304,9053,municipality,2020
420,3403737440,"Lafayette township, Sussex County, New Jersey",34037,ONJ,13,20,109,1815,1924,3,36,1743,municipality,2020
421,3403747430,"Montague township, Sussex County, New Jersey",34037,ONJ,49,61,280,2830,3110,21,87,2612,municipality,2020
422,3403751930,"Newton town, Sussex County, New Jersey",34037,ONJ,244,317,912,5819,6731,29,217,5012,municipality,2020
423,3403754660,"Ogdensburg borough, Sussex County, New Jersey",34037,ONJ,28,11,183,1654,1837,12,53,1550,municipality,2020
424,3403765700,"Sandyston township, Sussex County, New Jersey",34037,ONJ,22,7,72,1540,1612,8,47,1456,municipality,2020
425,3403769690,"Sparta township, Sussex County, New Jersey",34037,ONJ,494,241,1061,13927,14988,71,397,12724,municipality,2020
426,3403770380,"Stanhope borough, Sussex County, New Jersey",34037,ONJ,85,61,335,2555,2890,20,82,2307,municipality,2020
427,3403770890,"Stillwater township, Sussex County, New Jersey",34037,ONJ,32,18,148,3157,3305,12,68,3027,municipality,2020
428,3403771670,"Sussex borough, Sussex County, New Jersey",34037,ONJ,23,35,212,1425,1637,4,48,1315,municipality,2020
429,3403775740,"Vernon township, Sussex County, New Jersey",34037,ONJ,168,247,1442,16553,17995,84,509,15545,municipality,2020
430,3403776640,"Walpack township, Sussex County, New Jersey",34037,ONJ,0,0,0,4,4,0,0,4,municipality,2020
431,3403776790,"Wantage township, Sussex County, New Jersey",34037,ONJ,95,121,575,8185,8760,46,247,7676,municipality,2020
432,3403905320,"Berkeley Heights township, Union County, New Jersey",34039,INJ,1479,196,778,9319,10097,65,195,7384,municipality,2020
433,3403913150,"Clark township, Union County, New Jersey",34039,INJ,537,192,1331,11093,12424,45,212,10107,municipality,2020
434,3403915640,"Cranford township, Union County, New Jersey",34039,INJ,698,519,1659,16732,18391,75,440,15000,municipality,2020
435,3403921000,"Elizabeth city, Union County, New Jersey",34039,INJ,2165,16663,66860,35677,102537,1369,2274,13206,municipality,2020
436,3403922860,"Fanwood borough, Union County, New Jersey",34039,INJ,530,303,444,5337,5781,11,168,4325,municipality,2020
437,3403925800,"Garwood borough, Union County, New Jersey",34039,INJ,112,54,451,3212,3663,29,83,2934,municipality,2020
438,3403931980,"Hillside township, Union County, New Jersey",34039,INJ,437,8916,3918,13706,17624,418,903,3032,municipality,2020
439,3403936690,"Kenilworth borough, Union County, New Jersey",34039,INJ,349,173,1350,5269,6619,34,196,4517,municipality,2020
440,3403940350,"Linden city, Union County, New Jersey",34039,INJ,1225,9118,11266,23248,34514,410,806,11689,municipality,2020
441,3403948510,"Mountainside borough, Union County, New Jersey",34039,INJ,346,106,456,5001,5457,27,108,4414,municipality,2020
442,3403951810,"New Providence borough, Union County, New Jersey",34039,INJ,1531,191,829,9387,10216,34,220,7411,municipality,2020
443,3403959190,"Plainfield city, Union County, New Jersey",34039,INJ,419,15342,19703,19878,39581,392,835,2890,municipality,2020
444,3403961530,"Rahway city, Union County, New Jersey",34039,INJ,1418,7071,6481,17324,23805,189,685,7961,municipality,2020
445,3403964620,"Roselle borough, Union County, New Jersey",34039,INJ,499,8621,5903,12061,17964,188,510,2243,municipality,2020
446,3403964650,"Roselle Park borough, Union County, New Jersey",34039,INJ,1067,912,3832,7148,10980,100,232,4837,municipality,2020
447,3403966060,"Scotch Plains township, Union County, New Jersey",34039,INJ,1915,1910,1698,17062,18760,97,472,12668,municipality,2020
448,3403970020,"Springfield township, Union County, New Jersey",34039,INJ,1223,1180,1552,12074,13626,94,364,9213,municipality,2020
449,3403971430,"Summit city, Union County, New Jersey",34039,INJ,1721,705,2399,14183,16582,83,482,11192,municipality,2020
450,3403974480,"Union township, Union County, New Jersey",34039,INJ,5396,15119,9057,39617,48674,623,1478,17001,municipality,2020
451,3403979040,"Westfield town, Union County, New Jersey",34039,INJ,1945,633,1419,20932,22351,98,564,17692,municipality,2020
452,3403981650,"Winfield township, Union County, New Jersey",34039,INJ,6,10,99,1111,1210,3,43,1049,municipality,2020
453,3404100670,"Allamuchy township, Warren County, New Jersey",34041,ONJ,146,157,323,4094,4417,21,105,3665,municipality,2020
454,3404101030,"Alpha borough, Warren County, New Jersey",34041,ONJ,33,48,123,1763,1886,4,36,1642,municipality,2020
455,3404104990,"Belvidere town, Warren County, New Jersey",34041,ONJ,20,20,119,1864,1983,16,58,1750,municipality,2020
456,3404106160,"Blairstown township, Warren County, New Jersey",34041,ONJ,62,49,229,4440,4669,42,127,4160,municipality,2020
457,3404124960,"Franklin township, Warren County, New Jersey",34041,ONJ,81,44,117,2289,2406,18,83,2063,municipality,2020
458,3404125320,"Frelinghuysen township, Warren County, New Jersey",34041,ONJ,9,22,81,1682,1763,1,45,1605,municipality,2020
459,3404128260,"Greenwich township, Warren County, New Jersey",34041,ONJ,307,333,370,3795,4165,17,123,3015,municipality,2020
460,3404128710,"Hackettstown town, Warren County, New Jersey",34041,ONJ,317,277,1632,6497,8129,35,189,5679,municipality,2020
461,3404129820,"Hardwick township, Warren County, New Jersey",34041,ONJ,8,12,77,1219,1296,1,24,1174,municipality,2020
462,3404130090,"Harmony township, Warren County, New Jersey",34041,ONJ,16,17,34,2009,2043,7,49,1920,municipality,2020
463,3404133060,"Hope township, Warren County, New Jersey",34041,ONJ,16,4,86,1436,1522,5,42,1369,municipality,2020
464,3404133930,"Independence township, Warren County, New Jersey",34041,ONJ,102,108,331,4180,4511,15,122,3833,municipality,2020
465,3404137320,"Knowlton township, Warren County, New Jersey",34041,ONJ,31,18,145,2248,2393,10,104,2085,municipality,2020
466,3404140110,"Liberty township, Warren County, New Jersey",34041,ONJ,36,31,108,2068,2176,8,59,1934,municipality,2020
467,3404141490,"Lopatcong township, Warren County, New Jersey",34041,ONJ,337,552,550,6591,7141,45,167,5490,municipality,2020
468,3404143320,"Mansfield township, Warren County, New Jersey",34041,ONJ,206,327,810,5474,6284,34,225,4682,municipality,2020
469,3404155530,"Oxford township, Warren County, New Jersey",34041,ONJ,20,35,118,1804,1922,2,84,1663,municipality,2020
470,3404158350,"Phillipsburg town, Warren County, New Jersey",34041,ONJ,189,1226,1630,9793,11423,48,453,7877,municipality,2020
471,3404159820,"Pohatcong township, Warren County, New Jersey",34041,ONJ,37,66,147,2506,2653,14,103,2286,municipality,2020
472,3404177270,"Washington borough, Warren County, New Jersey",34041,ONJ,178,402,684,5094,5778,45,178,4291,municipality,2020
473,3404177300,"Washington township, Warren County, New Jersey",34041,ONJ,114,179,362,4863,5225,29,125,4416,municipality,2020
474,3404180570,"White township, Warren County, New Jersey",34041,ONJ,39,91,184,3850,4034,17,58,3645,municipality,2020
475,3600508510,"Bronx borough, Bronx County, New York",36005,NYC,52705,324265,600336,522739,1123075,13620,21564,110585,municipality,2020
476,3602701693,"Amenia town, Dutchess County, New York",36027,MHV,63,76,301,2829,3130,29,119,2542,municipality,2020
477,3602705100,"Beacon city, Dutchess County, New York",36027,MHV,264,1403,1947,9229,11176,132,445,6985,municipality,2020
478,3602705452,"Beekman town, Dutchess County, New York",36027,MHV,294,1391,1393,10119,11512,56,261,8117,municipality,2020
479,3602716408,"Clinton town, Dutchess County, New York",36027,MHV,48,54,123,3232,3355,12,127,2991,municipality,2020
480,3602720819,"Dover town, Dutchess County, New York",36027,MHV,182,304,1107,5503,6610,30,236,4751,municipality,2020
481,3602721996,"East Fishkill town, Dutchess County, New York",36027,MHV,989,840,2479,20642,23121,145,652,18016,municipality,2020
482,3602725978,"Fishkill town, Dutchess County, New York",36027,MHV,939,2802,2996,17561,20557,136,509,13175,municipality,2020
483,3602737209,"Hyde Park town, Dutchess County, New York",36027,MHV,746,1254,1400,16031,17431,120,713,13198,municipality,2020
484,3602740299,"La Grange town, Dutchess County, New York",36027,MHV,572,636,1197,11332,12529,84,398,9642,municipality,2020
485,3602747207,"Milan town, Dutchess County, New York",36027,MHV,18,24,95,1776,1871,20,83,1631,municipality,2020
486,3602751891,"North East town, Dutchess County, New York",36027,MHV,43,41,288,2176,2464,12,92,1988,municipality,2020
487,3602756825,"Pawling town, Dutchess County, New York",36027,MHV,103,177,828,5690,6518,42,165,5203,municipality,2020
488,3602758156,"Pine Plains town, Dutchess County, New York",36027,MHV,24,17,89,1728,1817,5,58,1624,municipality,2020
489,3602758695,"Pleasant Valley town, Dutchess County, New York",36027,MHV,138,298,557,7290,7847,75,277,6502,municipality,2020
490,3602759641,"Poughkeepsie city, Dutchess County, New York",36027,MHV,428,8384,4831,19845,24676,202,997,9834,municipality,2020
491,3602759652,"Poughkeepsie town, Dutchess County, New York",36027,MHV,2361,4041,4758,32371,37129,427,1203,24339,municipality,2020
492,3602760905,"Red Hook town, Dutchess County, New York",36027,MHV,262,107,524,7634,8158,34,240,6991,municipality,2020
493,3602761357,"Rhinebeck town, Dutchess County, New York",36027,MHV,129,89,380,6173,6553,33,190,5732,municipality,2020
494,3602770662,"Stanford town, Dutchess County, New York",36027,MHV,38,120,199,2883,3082,14,107,2604,municipality,2020
495,3602776166,"Union Vale town, Dutchess County, New York",36027,MHV,70,61,211,3478,3689,18,82,3247,municipality,2020
496,3602778157,"Wappinger town, Dutchess County, New York",36027,MHV,1036,1634,3633,19094,22727,192,695,15537,municipality,2020
497,3602778388,"Washington town, Dutchess County, New York",36027,MHV,53,74,294,3377,3671,18,138,3094,municipality,2020
498,3604710022,"Brooklyn borough, Kings County, New York",36047,NYC,294905,584397,391547,1748824,2140371,25473,84678,759371,municipality,2020
499,3601011,"Albertson CDP, New York",36059,LI,1283,23,339,3862,4201,29,63,2464,municipality,2020
500,3602968,"Atlantic Beach village, New York",36059,LI,22,1,73,1432,1505,16,29,1364,municipality,2020
501,3604143,"Baldwin CDP, New York",36059,LI,1284,9959,5503,21425,26928,448,901,8833,municipality,2020
502,3604550,"Barnum Island CDP, New York",36059,LI,135,58,384,1823,2207,27,47,1556,municipality,2020
503,3604803,"Baxter Estates village, New York",36059,LI,56,7,121,670,791,0,20,587,municipality,2020
504,3604891,"Bay Park CDP, New York",36059,LI,22,21,138,1565,1703,5,24,1493,municipality,2020
505,3605034,"Bayville village, New York",36059,LI,116,29,498,5015,5513,19,90,4761,municipality,2020
506,3605639,"Bellerose village, New York",36059,LI,46,29,90,828,918,11,24,718,municipality,2020
507,3605661,"Bellerose Terrace CDP, New York",36059,LI,603,110,494,1323,1817,35,52,523,municipality,2020
508,3605738,"Bellmore CDP, New York",36059,LI,564,187,1029,11790,12819,41,273,10725,municipality,2020
509,3606387,"Bethpage CDP, New York",36059,LI,1517,119,1230,12187,13417,49,206,10296,municipality,2020
510,3610132,"Brookville village, New York",36059,LI,299,37,117,2389,2506,6,45,2002,municipality,2020
511,3612419,"Carle Place CDP, New York",36059,LI,389,122,524,3519,4043,45,104,2859,municipality,2020
512,3613233,"Cedarhurst village, New York",36059,LI,159,121,749,4267,5016,33,75,3879,municipality,2020
513,3613618,"Centre Island village, New York",36059,LI,12,2,19,315,334,0,2,299,municipality,2020
514,3618597,"Cove Neck village, New York",36059,LI,0,0,13,205,218,0,5,200,municipality,2020
515,3621578,"East Atlantic Beach CDP, New York",36059,LI,18,6,113,1730,1843,9,18,1679,municipality,2020
516,3622260,"East Hills village, New York",36059,LI,626,63,205,5069,5274,19,92,4269,municipality,2020
517,3622480,"East Massapequa CDP, New York",36059,LI,432,1918,2039,14027,16066,108,348,11221,municipality,2020
518,3622502,"East Meadow CDP, New York",36059,LI,5009,1317,4352,26090,30442,257,554,18953,municipality,2020
519,3622623,"East Norwich CDP, New York",36059,LI,90,20,136,2069,2205,8,35,1916,municipality,2020
520,3622876,"East Rockaway village, New York",36059,LI,258,233,1033,7124,8157,24,163,6446,municipality,2020
521,3623217,"East Williston village, New York",36059,LI,224,0,79,1879,1958,0,40,1615,municipality,2020
522,3624273,"Elmont CDP, New York",36059,LI,4184,12422,6064,22127,28191,666,985,3870,municipality,2020
523,3625384,"Farmingdale village, New York",36059,LI,524,223,966,6230,7196,61,136,5286,municipality,2020
524,3626264,"Floral Park village, New York",36059,LI,1422,202,1431,11283,12714,63,186,9410,municipality,2020
525,3626352,"Flower Hill village, New York",36059,LI,671,22,186,3370,3556,22,68,2587,municipality,2020
526,3627309,"Franklin Square CDP, New York",36059,LI,3028,1062,4360,20578,24938,266,420,15802,municipality,2020
527,3627485,"Freeport village, New York",36059,LI,657,10281,15719,19160,34879,432,899,6891,municipality,2020
528,3628178,"Garden City village, New York",36059,LI,1144,165,953,16724,17677,88,255,15072,municipality,2020
529,3628189,"Garden City Park CDP, New York",36059,LI,2849,195,734,5662,6396,62,148,2408,municipality,2020
530,3628200,"Garden City South CDP, New York",36059,LI,275,30,335,2947,3282,10,48,2584,municipality,2020
531,3629113,"Glen Cove city, New York",36059,LI,1292,1276,7056,16103,23159,158,367,13010,municipality,2020
532,3629245,"Glen Head CDP, New York",36059,LI,240,30,372,3402,3774,27,66,3039,municipality,2020
533,3629421,"Glenwood Landing CDP, New York",36059,LI,175,21,222,2865,3087,21,50,2598,municipality,2020
534,3630169,"Great Neck village, New York",36059,LI,1062,126,857,7285,8142,60,343,5694,municipality,2020
535,3630191,"Great Neck Estates village, New York",36059,LI,410,9,90,2105,2195,20,73,1593,municipality,2020
536,3630202,"Great Neck Gardens CDP, New York",36059,LI,253,3,16,871,887,5,19,591,municipality,2020
537,3630213,"Great Neck Plaza village, New York",36059,LI,1458,118,496,5722,6218,27,119,4000,municipality,2020
538,3630598,"Greenvale CDP, New York",36059,LI,218,8,85,764,849,5,20,513,municipality,2020
539,3632094,"Harbor Hills CDP, New York",36059,LI,24,0,4,391,395,3,14,350,municipality,2020
540,3632105,"Harbor Isle CDP, New York",36059,LI,22,22,92,1047,1139,5,22,976,municipality,2020
541,3633139,"Hempstead village, New York",36059,LI,1056,18402,20900,23664,44564,477,1117,2612,municipality,2020
542,3634198,"Herricks CDP, New York",36059,LI,1876,21,155,3346,3501,44,73,1332,municipality,2020
543,3634286,"Hewlett CDP, New York",36059,LI,460,231,785,4797,5582,38,118,3950,municipality,2020
544,3634297,"Hewlett Bay Park village, New York",36059,LI,32,3,17,341,358,3,14,289,municipality,2020
545,3634308,"Hewlett Harbor village, New York",36059,LI,50,11,45,964,1009,4,26,873,municipality,2020
546,3634319,"Hewlett Neck village, New York",36059,LI,19,12,24,371,395,6,3,331,municipality,2020
547,3634374,"Hicksville CDP, New York",36059,LI,11244,924,5842,29960,35802,272,730,16790,municipality,2020
548,3637583,"Inwood CDP, New York",36059,LI,368,1517,4192,3967,8159,78,129,1875,municipality,2020
549,3637847,"Island Park village, New York",36059,LI,165,110,1221,2762,3983,53,77,2357,municipality,2020
550,3638539,"Jericho CDP, New York",36059,LI,4814,216,412,10728,11140,52,150,5496,municipality,2020
551,3639309,"Kensington village, New York",36059,LI,182,0,13,926,939,7,28,709,municipality,2020
552,3639694,"Kings Point village, New York",36059,LI,237,88,192,4189,4381,20,243,3601,municipality,2020
553,3640937,"Lake Success village, New York",36059,LI,1109,12,66,2059,2125,10,29,899,municipality,2020
554,3641003,"Lakeview CDP, New York",36059,LI,124,3395,803,3929,4732,91,196,123,municipality,2020
555,3641432,"Lattingtown village, New York",36059,LI,62,2,73,1372,1445,8,42,1258,municipality,2020
556,3641487,"Laurel Hollow village, New York",36059,LI,137,10,61,1365,1426,2,39,1177,municipality,2020
557,3641553,"Lawrence village, New York",36059,LI,80,70,236,4700,4936,71,71,4408,municipality,2020
558,3642081,"Levittown CDP, New York",36059,LI,4441,527,6022,35192,41214,235,852,29137,municipality,2020
559,3642279,"Lido Beach CDP, New York",36059,LI,47,10,122,2178,2300,0,32,2089,municipality,2020
560,3643192,"Locust Valley CDP, New York",36059,LI,102,70,597,2156,2753,13,37,1934,municipality,2020
561,3643335,"Long Beach city, New York",36059,LI,924,1426,4144,25586,29730,258,588,22390,municipality,2020
562,3643874,"Lynbrook village, New York",36059,LI,1004,984,2726,13375,16101,115,338,10934,municipality,2020
563,3644787,"Malverne village, New York",36059,LI,385,350,816,6113,6929,70,111,5197,municipality,2020
564,3644792,"Malverne Park Oaks CDP, New York",36059,LI,38,54,51,385,436,15,11,267,municipality,2020
565,3644897,"Manhasset CDP, New York",36059,LI,1325,500,636,5671,6307,18,126,3702,municipality,2020
566,3644908,"Manhasset Hills CDP, New York",36059,LI,1486,22,150,2692,2842,26,47,1111,municipality,2020
567,3645106,"Manorhaven village, New York",36059,LI,714,83,1783,3536,5319,29,62,2648,municipality,2020
568,3645986,"Massapequa CDP, New York",36059,LI,336,98,1045,15840,16885,45,307,15054,municipality,2020
569,3645997,"Massapequa Park village, New York",36059,LI,243,58,834,12607,13441,63,158,12085,municipality,2020
570,3646107,"Matinecock village, New York",36059,LI,40,1,58,622,680,0,10,571,municipality,2020
571,3646668,"Merrick CDP, New York",36059,LI,722,263,1398,15741,17139,90,246,14420,municipality,2020
572,3647405,"Mill Neck village, New York",36059,LI,53,13,95,743,838,0,19,658,municipality,2020
573,3647636,"Mineola village, New York",36059,LI,2282,435,3046,14103,17149,165,419,10802,municipality,2020
574,3649231,"Munsey Park village, New York",36059,LI,259,18,94,1866,1960,5,48,1536,municipality,2020
575,3649330,"Muttontown village, New York",36059,LI,939,45,100,2686,2786,13,49,1640,municipality,2020
576,3650067,"New Cassel CDP, New York",36059,LI,356,3890,5470,5029,10499,67,144,572,municipality,2020
577,3650397,"New Hyde Park village, New York",36059,LI,3068,143,1031,7136,8167,93,123,3709,municipality,2020
578,3651517,"North Bellmore CDP, New York",36059,LI,1111,514,1610,14631,16241,92,304,12610,municipality,2020
579,3653022,"North Hills village, New York",36059,LI,1498,43,110,4600,4710,15,65,2979,municipality,2020
580,3653231,"North Lynbrook CDP, New York",36059,LI,57,47,86,525,611,4,19,398,municipality,2020
581,3653253,"North Massapequa CDP, New York",36059,LI,355,86,1037,13255,14292,33,177,12604,municipality,2020
582,3653264,"North Merrick CDP, New York",36059,LI,503,220,916,8551,9467,58,149,7621,municipality,2020
583,3653275,"North New Hyde Park CDP, New York",36059,LI,5447,82,945,11613,12558,156,175,5753,municipality,2020
584,3653748,"North Valley Stream CDP, New York",36059,LI,2680,6663,2066,12755,14821,362,606,2444,municipality,2020
585,3653792,"North Wantagh CDP, New York",36059,LI,308,110,980,8513,9493,38,110,7947,municipality,2020
586,3654441,"Oceanside CDP, New York",36059,LI,903,511,3152,22643,25795,168,434,20627,municipality,2020
587,3654551,"Old Bethpage CDP, New York",36059,LI,443,17,239,4929,5168,17,52,4400,municipality,2020
588,3654562,"Old Brookville village, New York",36059,LI,223,22,76,1524,1600,13,27,1239,municipality,2020
589,3654705,"Old Westbury village, New York",36059,LI,761,575,289,3316,3605,20,100,1860,municipality,2020
590,3655992,"Oyster Bay CDP, New York",36059,LI,193,187,945,4756,5701,24,122,4230,municipality,2020
591,3656011,"Oyster Bay Cove village, New York",36059,LI,216,21,78,1704,1782,7,39,1421,municipality,2020
592,3658409,"Plainedge CDP, New York",36059,LI,614,141,808,6883,7691,46,132,5950,municipality,2020
593,3658442,"Plainview CDP, New York",36059,LI,3918,117,1136,19752,20888,84,307,15326,municipality,2020
594,3658475,"Plandome village, New York",36059,LI,106,9,47,984,1031,4,10,855,municipality,2020
595,3658486,"Plandome Heights village, New York",36059,LI,126,0,47,687,734,10,10,541,municipality,2020
596,3658497,"Plandome Manor village, New York",36059,LI,73,2,33,587,620,4,2,506,municipality,2020
597,3658849,"Point Lookout CDP, New York",36059,LI,14,5,54,1259,1313,1,22,1217,municipality,2020
598,3659520,"Port Washington CDP, New York",36059,LI,1160,245,1851,10882,12733,61,259,9157,municipality,2020
599,3659531,"Port Washington North village, New York",36059,LI,238,22,214,2295,2509,18,46,1971,municipality,2020
600,3663264,"Rockville Centre village, New York",36059,LI,518,1071,2184,18137,20321,100,322,16126,municipality,2020
601,3663506,"Roosevelt CDP, New York",36059,LI,131,6907,5883,7795,13678,153,350,254,municipality,2020
602,3663770,"Roslyn village, New York",36059,LI,349,35,435,2061,2496,12,61,1604,municipality,2020
603,3663792,"Roslyn Estates village, New York",36059,LI,117,8,30,980,1010,5,24,826,municipality,2020
604,3663803,"Roslyn Harbor village, New York",36059,LI,142,2,44,801,845,3,31,623,municipality,2020
605,3663814,"Roslyn Heights CDP, New York",36059,LI,1596,283,482,4592,5074,47,104,2562,municipality,2020
606,3664232,"Russell Gardens village, New York",36059,LI,292,3,26,750,776,9,14,432,municipality,2020
607,3664430,"Saddle Rock village, New York",36059,LI,77,1,18,690,708,5,13,594,municipality,2020
608,3664441,"Saddle Rock Estates CDP, New York",36059,LI,32,3,1,305,306,5,11,254,municipality,2020
609,3664842,"Salisbury CDP, New York",36059,LI,1817,236,1802,8213,10015,66,197,5897,municipality,2020
610,3665035,"Sands Point village, New York",36059,LI,232,27,72,1971,2043,9,27,1676,municipality,2020
611,3666047,"Sea Cliff village, New York",36059,LI,121,65,310,3692,4002,17,87,3402,municipality,2020
612,3666058,"Seaford CDP, New York",36059,LI,338,88,870,11278,12148,47,213,10592,municipality,2020
613,3666102,"Searingtown CDP, New York",36059,LI,1965,51,142,3831,3973,16,78,1721,municipality,2020
614,3669001,"South Farmingdale CDP, New York",36059,LI,632,223,1456,10112,11568,58,186,9013,municipality,2020
615,3669023,"South Floral Park village, New York",36059,LI,172,687,284,1086,1370,25,68,134,municipality,2020
616,3669188,"South Hempstead CDP, New York",36059,LI,64,388,610,1952,2562,28,58,1414,municipality,2020
617,3669892,"South Valley Stream CDP, New York",36059,LI,1013,1271,586,4371,4957,134,191,1762,municipality,2020
618,3671267,"Stewart Manor village, New York",36059,LI,124,30,168,1409,1577,6,31,1218,municipality,2020
619,3672554,"Syosset CDP, New York",36059,LI,4753,86,665,13708,14373,65,218,8586,municipality,2020
620,3673605,"Thomaston village, New York",36059,LI,900,27,100,2024,2124,21,32,1044,municipality,2020
621,3676089,"Uniondale CDP, New York",36059,LI,1038,9403,9445,16791,26236,274,685,5391,municipality,2020
622,3676287,"University Gardens CDP, New York",36059,LI,1560,49,248,3231,3479,16,77,1529,municipality,2020
623,3676331,"Upper Brookville village, New York",36059,LI,218,26,68,1336,1404,9,25,1058,municipality,2020
624,3676705,"Valley Stream village, New York",36059,LI,4991,7118,7848,24067,31915,781,1067,10110,municipality,2020
625,3678146,"Wantagh CDP, New York",36059,LI,392,46,930,13516,14446,53,218,12807,municipality,2020
626,3679444,"Westbury village, New York",36059,LI,1263,2309,3633,9144,12777,128,323,5121,municipality,2020
627,3680225,"West Hempstead CDP, New York",36059,LI,1173,1732,2888,12406,15294,202,333,8966,municipality,2020
628,3682117,"Williston Park village, New York",36059,LI,1058,65,538,5514,6052,48,129,4214,municipality,2020
629,3682744,"Woodbury CDP, New York",36059,LI,1187,117,460,7050,7510,28,58,5660,municipality,2020
630,3682942,"Woodmere CDP, New York",36059,LI,513,601,710,11757,12467,150,195,10298,municipality,2020
631,3682986,"Woodsburgh village, New York",36059,LI,30,3,21,644,665,6,9,596,municipality,2020
632,3605929113,"Glen Cove city, Nassau County, New York",36059,LI,1292,1276,7056,16103,23159,158,367,13010,municipality,2020
633,3605934000,"Hempstead town, Nassau County, New York",36059,LI,46175,99885,125615,495295,620910,6566,13922,328747,municipality,2020
634,3605943335,"Long Beach city, Nassau County, New York",36059,LI,924,1426,4144,25586,29730,258,588,22390,municipality,2020
635,3605953000,"North Hempstead town, Nassau County, New York",36059,LI,40899,9207,25241,160261,185502,1350,4014,104791,municipality,2020
636,3605956000,"Oyster Bay town, Nassau County, New York",36059,LI,34464,5428,22269,217314,239583,1177,4011,172234,municipality,2020
637,3606144919,"Manhattan borough, New York County, New York",36061,NYC,196100,167205,329236,1132504,1461740,12876,45814,710509,municipality,2020
638,3607107003,"Blooming Grove town, Orange County, New York",36071,MHV,336,1068,2723,11327,14050,225,433,9265,municipality,2020
639,3607115308,"Chester town, Orange County, New York",36071,MHV,399,802,1653,8140,9793,84,286,6569,municipality,2020
640,3607118300,"Cornwall town, Orange County, New York",36071,MHV,313,317,1099,8959,10058,91,319,7919,municipality,2020
641,3607118916,"Crawford town, Orange County, New York",36071,MHV,107,272,939,6221,7160,50,221,5571,municipality,2020
642,3607119961,"Deerpark town, Orange County, New York",36071,MHV,296,165,440,5679,6119,62,263,4893,municipality,2020
643,3607129553,"Goshen town, Orange County, New York",36071,MHV,373,768,2325,9270,11595,54,242,7833,municipality,2020
644,3607130631,"Greenville town, Orange County, New York",36071,MHV,54,116,398,3223,3621,37,108,2908,municipality,2020
645,3607131907,"Hamptonburgh town, Orange County, New York",36071,MHV,165,129,565,3735,4300,30,134,3277,municipality,2020
646,3607134550,"Highlands town, Orange County, New York",36071,MHV,528,1139,1474,8782,10256,132,330,6653,municipality,2020
647,3607147042,"Middletown city, Orange County, New York",36071,MHV,963,4783,8976,14052,23028,253,673,7380,municipality,2020
648,3607147713,"Minisink town, Orange County, New York",36071,MHV,42,101,422,3110,3532,25,78,2864,municipality,2020
649,3607147999,"Monroe town, Orange County, New York",36071,MHV,894,1141,3692,25740,29432,3435,689,19581,municipality,2020
650,3607148153,"Montgomery town, Orange County, New York",36071,MHV,342,1283,2933,15201,18134,127,588,12861,municipality,2020
651,3607148857,"Mount Hope town, Orange County, New York",36071,MHV,231,688,857,4444,5301,55,120,3350,municipality,2020
