stco,id_00,nm_00,geoid,name
34003,3400344880,"Maywood borough, Bergen County, New Jersey",3400344880,"Maywood borough, Bergen County, New Jersey"
34003,3400346110,"Midland Park borough, Bergen County, New Jersey",3400346110,"Midland Park borough, Bergen County, New Jersey"
34003,3400347610,"Montvale borough, Bergen County, New Jersey",3400347610,"Montvale borough, Bergen County, New Jersey"
34003,3400347700,"Moonachie borough, Bergen County, New Jersey",3400347700,"Moonachie borough, Bergen County, New Jersey"
34003,3400351660,"New Milford borough, Bergen County, New Jersey",3400351660,"New Milford borough, Bergen County, New Jersey"
34003,3400352320,"North Arlington borough, Bergen County, New Jersey",3400352320,"North Arlington borough, Bergen County, New Jersey"
34003,3400353430,"Northvale borough, Bergen County, New Jersey",3400353430,"Northvale borough, Bergen County, New Jersey"
34003,3400353610,"Norwood borough, Bergen County, New Jersey",3400353610,"Norwood borough, Bergen County, New Jersey"
34003,3400353850,"Oakland borough, Bergen County, New Jersey",3400353850,"Oakland borough, Bergen County, New Jersey"
34003,3400354870,"Old Tappan borough, Bergen County, New Jersey",3400354870,"Old Tappan borough, Bergen County, New Jersey"
34003,3400354990,"Oradell borough, Bergen County, New Jersey",3400354990,"Oradell borough, Bergen County, New Jersey"
34003,3400355770,"Palisades Park borough, Bergen County, New Jersey",3400355770,"Palisades Park borough, Bergen County, New Jersey"
34003,3400355950,"Paramus borough, Bergen County, New Jersey",3400355950,"Paramus borough, Bergen County, New Jersey"
34003,3400356130,"Park Ridge borough, Bergen County, New Jersey",3400356130,"Park Ridge borough, Bergen County, New Jersey"
34003,3400361680,"Ramsey borough, Bergen County, New Jersey",3400361680,"Ramsey borough, Bergen County, New Jersey"
34003,3400362910,"Ridgefield borough, Bergen County, New Jersey",3400362910,"Ridgefield borough, Bergen County, New Jersey"
34003,3400362940,"Ridgefield Park village, Bergen County, New Jersey",3400362940,"Ridgefield Park village, Bergen County, New Jersey"
34003,3400363000,"Ridgewood village, Bergen County, New Jersey",3400363000,"Ridgewood village, Bergen County, New Jersey"
34003,3400363360,"River Edge borough, Bergen County, New Jersey",3400363360,"River Edge borough, Bergen County, New Jersey"
34003,3400363690,"River Vale township, Bergen County, New Jersey",3400363690,"River Vale township, Bergen County, New Jersey"
34003,3400363990,"Rochelle Park township, Bergen County, New Jersey",3400363990,"Rochelle Park township, Bergen County, New Jersey"
