stco,ct_id,ct_name,name,id_sub
36081,36081094202,942.02,QN Southeast,36081SE
36081,36081094201,942.01,QN Southeast,36081SE
36081,36081046200,462,QN Southeast,36081SE
36081,36081093800,938,QN Southeast,36081SE
36081,36081046000,460,QN Southeast,36081SE
36081,36081093402,934.02,QN Southeast,36081SE
36081,36081093401,934.01,QN Southeast,36081SE
36081,36081092800,928,QN Southeast,36081SE
36081,36081092200,922,QN Southeast,36081SE
36081,36081091800,918,QN Southeast,36081SE
36081,36081091604,916.04,QN Southeast,36081SE
36081,36081091603,916.03,QN Southeast,36081SE
36081,36081091602,916.02,QN Southeast,36081SE
36081,36081033000,330,QN Southeast,36081SE
36081,36081032800,328,QN Southeast,36081SE
36081,36081032000,320,QN Southeast,36081SE
36081,36081030600,306,QN Southeast,36081SE
36081,36081069400,694,QN Southeast,36081SE
36081,36081069000,690,QN Southeast,36081SE
36081,36081029400,294,QN Southeast,36081SE
36081,36081068200,682,QN Southeast,36081SE
36081,36081068000,680,QN Southeast,36081SE
36081,36081028803,288.03,QN Southeast,36081SE
36081,36081028802,288.02,QN Southeast,36081SE
36081,36081028801,288.01,QN Southeast,36081SE
36081,36081028400,284,QN Southeast,36081SE
36081,36081066404,664.04,QN Southeast,36081SE
36081,36081028200,282,QN Southeast,36081SE
36081,36081066403,664.03,QN Southeast,36081SE
36081,36081066402,664.02,QN Southeast,36081SE
36081,36081028000,280,QN Southeast,36081SE
36081,36081066401,664.01,QN Southeast,36081SE
36081,36081027800,278,QN Southeast,36081SE
36081,36081066000,660,QN Southeast,36081SE
36081,36081039800,398,QN Southeast,36081SE
36081,36081039400,394,QN Southeast,36081SE
36081,36081038400,384,QN Southeast,36081SE
36081,36081065600,656,QN Southeast,36081SE
36081,36081037600,376,QN Southeast,36081SE
36081,36081036800,368,QN Southeast,36081SE
36081,36081036600,366,QN Southeast,36081SE
36081,36081035800,358,QN Southeast,36081SE
36081,36081035200,352,QN Southeast,36081SE
36081,36081033405,334.05,QN Southeast,36081SE
36081,36081033404,334.04,QN Southeast,36081SE
36081,36081033403,334.03,QN Southeast,36081SE
36081,36081033401,334.01,QN Southeast,36081SE
36081,36081024600,246,QN Southeast,36081SE
36081,36081071600,716,QN Southeast,36081SE
36081,36081024000,240,QN Southeast,36081SE
36081,36081023800,238,QN Southeast,36081SE
36081,36081061200,612,QN Southeast,36081SE
36081,36081061000,610,QN Southeast,36081SE
36081,36081060800,608,QN Southeast,36081SE
36081,36081060600,606,QN Southeast,36081SE
36081,36081060000,600,QN Southeast,36081SE
36081,36081059800,598,QN Southeast,36081SE
36081,36081059600,596,QN Southeast,36081SE
36081,36081021200,212,QN Southeast,36081SE
36081,36081059400,594,QN Southeast,36081SE
36081,36081020800,208,QN Southeast,36081SE
36081,36081020600,206,QN Southeast,36081SE
36081,36081059200,592,QN Southeast,36081SE
36081,36081020400,204,QN Southeast,36081SE
36081,36081059000,590,QN Southeast,36081SE
36081,36081020200,202,QN Southeast,36081SE
36081,36081130100,1301,QN Southeast,36081SE
36081,36081019800,198,QN Southeast,36081SE
36081,36081058200,582,QN Southeast,36081SE
36081,36081019600,196,QN Southeast,36081SE
36081,36081019400,194,QN Southeast,36081SE
36081,36081058000,580,QN Southeast,36081SE
36081,36081019200,192,QN Southeast,36081SE
36081,36081019000,190,QN Southeast,36081SE
36081,36081056800,568,QN Southeast,36081SE
36081,36081027600,276,QN Southeast,36081SE
36081,36081056600,566,QN Southeast,36081SE
36081,36081027400,274,QN Southeast,36081SE
36047,36047070203,702.03,BK Central,36047C
36081,36081056400,564,QN Southeast,36081SE
36081,36081027200,272,QN Southeast,36081SE
36081,36081065402,654.02,QN Southeast,36081SE
36081,36081065401,654.01,QN Southeast,36081SE
36081,36081065000,650,QN Southeast,36081SE
36081,36081027000,270,QN Southeast,36081SE
36081,36081064600,646,QN Southeast,36081SE
36081,36081026600,266,QN Southeast,36081SE
36081,36081063800,638,QN Southeast,36081SE
36081,36081026400,264,QN Southeast,36081SE
36081,36081162100,1621,QN Southeast,36081SE
36081,36081026200,262,QN Southeast,36081SE
36081,36081161700,1617,QN Southeast,36081SE
36081,36081063200,632,QN Southeast,36081SE
36081,36081157903,1579.03,QN Southeast,36081SE
36081,36081026000,260,QN Southeast,36081SE
36081,36081063000,630,QN Southeast,36081SE
36081,36081157902,1579.02,QN Southeast,36081SE
36081,36081157901,1579.01,QN Southeast,36081SE
36081,36081025800,258,QN Southeast,36081SE
36081,36081157102,1571.02,QN Southeast,36081SE
36081,36081062600,626,QN Southeast,36081SE
36081,36081157101,1571.01,QN Southeast,36081SE
36081,36081012602,126.02,QN Southwest,36081SW
36081,36081012601,126.01,QN Southwest,36081SW
36081,36081012400,124,QN Southwest,36081SW
36081,36081003600,36,QN Southwest,36081SW
36081,36081003400,34,QN Southwest,36081SW
36081,36081012200,122,QN Southwest,36081SW
36081,36081089202,892.02,QN Southwest,36081SW
