,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
575,9009141800,731,994,347,123,1697
577,9009141900,516,277,340,178,3752
579,9009142000,618,156,224,101,2297
581,9009142100,27,539,700,31,447
583,9009142200,63,120,152,52,1194
585,9009142300,35,1074,3543,100,696
587,9009142400,26,1275,3381,120,558
589,9009142500,22,1314,3438,125,1030
591,9009142601,366,1987,1864,180,1529
593,9009142603,80,1149,1047,72,1612
594,9009142604,48,680,1130,59,997
596,9009142700,149,1194,3048,147,2116
598,9009142800,106,190,618,82,3845
600,9009150100,175,91,184,71,3602
602,9009150200,599,82,164,75,2702
604,9009150300,146,133,335,61,3278
606,9009150400,233,168,331,85,3467
608,9009150500,155,93,225,63,3772
610,9009150600,498,182,317,140,5270
612,9009150700,190,87,213,42,3829
614,9009150800,230,91,179,60,3390
616,9009150900,96,66,140,49,3607
618,9009151000,122,95,166,66,3677
620,9009151100,221,83,348,71,5856
622,9009151200,136,67,154,46,2685
624,9009154100,249,2617,2027,279,2898
626,9009154200,578,2517,1946,247,1888
630,9009154500,130,651,1440,125,2467
632,9009154600,182,700,710,113,2324
634,9009154700,204,222,332,107,5519
636,9009154800,65,82,277,69,4642
638,9009154900,103,301,466,59,2741
640,9009155000,95,637,1000,154,3404
642,9009155100,68,262,510,87,2463
644,9009157100,264,62,115,49,2113
646,9009157200,245,42,82,46,3422
648,9009157300,262,42,78,36,2892
650,9009157400,274,52,123,64,3693
652,9009160100,237,51,111,56,2988
654,9009160200,543,122,173,92,4617
656,9009161100,268,102,137,68,4988
658,9009165100,211,781,612,90,2234
660,9009165200,128,105,118,34,2100
662,9009165300,76,81,80,25,2027
664,9009165400,203,1140,345,148,3276
666,9009165500,134,3074,826,169,756
668,9009165600,195,1593,860,144,2777
670,9009165700,125,1772,572,142,1977
672,9009165801,764,997,416,137,3120
674,9009165802,162,757,298,96,2773
676,9009165900,314,588,374,144,6477
678,9009166001,736,628,472,131,4920
680,9009166002,256,353,354,114,6649
682,9009167100,414,251,293,117,6668
