id,HP1,HP24,HP5,HP
3602701693,20,0,0,20
3602705100,4,0,0,4
3602705452,21,0,0,21
3602716408,9,0,0,9
3602720819,0,0,0,0
3602721996,36,12,0,48
3602725978,16,0,0,16
3602737209,0,0,0,0
3602740299,63,0,76,139
3602747207,9,0,0,9
3602751891,3,0,0,3
3602756825,10,0,0,10
3602758156,2,0,0,2
3602758695,6,0,0,6
3602759641,2,0,169,171
3602759652,16,0,0,16
3602760905,24,0,0,24
3602761357,10,0,10,20
3602770662,5,0,0,5
3602776166,5,0,0,5
3602778157,60,0,0,60
3602778388,2,0,0,2
3605934000,334,4,365,703
3605953000,30,0,0,30
3605956000,57,0,0,57
3607107003,23,0,0,23
3607115308,21,0,0,21
3607118300,8,0,0,8
3607118916,12,0,0,12
3607119961,8,0,0,8
3607129553,33,0,0,33
3607130631,7,0,0,7
3607131907,12,0,0,12
3607134550,2,0,0,2
3607147042,66,0,0,66
3607147713,18,0,0,18
3607147999,31,27,513,571
3607148153,35,0,0,35
3607148857,16,0,0,16
3607150034,24,0,0,24
3607150045,43,2,0,45
3607150848,60,0,0,60
3607159388,2,0,0,2
3607175781,1,0,0,1
3607177992,31,0,24,55
3607178366,48,0,0,48
3607178839,8,0,0,8
3607182755,31,0,0,31
3607912529,19,0,6,25
3607939331,0,0,0,0
3607956748,1,0,0,1
3607957584,12,0,0,12
3607960147,0,0,0,0
3607968924,2,0,0,2
3608715968,20,0,0,20
3608732765,0,0,0,0
3608755211,9,0,0,9
3608760510,43,104,229,376
3608771674,1,0,0,1
3610304000,50,0,0,50
3610310000,2,0,0,2
3610322194,63,0,0,63
3610337000,55,0,0,55
3610338000,47,0,0,47
3610361984,33,0,0,33
3610366839,14,0,0,14
3610368000,17,0,0,17
3610368473,115,0,0,115
3610369463,59,0,0,59
3610506310,5,2,0,7
3610511759,12,0,0,12
3610516661,1,0,0,1
3610520104,3,0,0,3
3610525241,163,48,0,211
3610526528,4,0,0,4
3610527573,0,0,0,0
3610534473,10,0,0,10
3610542235,3,2,58,63
3610543786,3,0,0,3
3610544809,9,0,0,9
3610549847,5,0,0,5
3610563176,11,0,0,11
3610573627,68,0,0,68
3610575759,0,0,0,0
3611120247,1,0,0,1
3611124691,11,0,0,11
3611128255,18,2,0,20
3611132116,1,0,0,1
3611137143,2,0,0,2
3611139727,3,0,0,3
3611139738,0,0,0,0
3611142994,26,0,0,26
3611145458,21,0,0,21
3611145722,25,4,0,29
3611150562,6,0,37,43
3611154749,8,0,0,8
3611158552,8,0,0,8
3611163011,30,3,0,33
3611163737,0,0,0,0
3611165299,42,2,0,44
3611166597,6,0,0,6
3611166674,1,0,0,1
3611175935,8,0,0,8
3611178828,0,0,0,0
3611183052,0,0,0,0
3611905320,2,0,0,2
3611918410,19,0,0,19
3611921820,6,0,0,6
3611930367,12,2,15,29
3611932413,29,0,149,178
3611942136,2,3,0,5
3611944842,9,0,0,9
3611948895,2,2,0,4
3611949011,25,2,434,461
3611949121,1,4,0,5
3611950078,0,0,0,0
3611950617,4,2,815,821
3611951693,14,0,0,14
3611953517,4,0,0,4
3611955541,9,2,0,11
3611956979,8,12,300,320
3611957012,5,0,0,5
3611959685,2,0,0,2
3611964309,21,4,0,25
3611964320,39,4,5,48
3611965442,11,0,0,11
3611968308,48,0,0,48
3611981677,3,4,303,310
3611984000,10,18,462,490
3611984077,7,0,0,7
36005CS,1,40,1979,2020
36005NE,0,23,346,369
36005W,4,4,3326,3334
36047C,2,24,2270,2296
36047E,0,19,1244,1263
36047N,1,27,953,981
36047S,20,45,623,688
36047W,13,12,988,1013
36061E,0,0,521,521
36061L,0,0,349,349
36061U,0,2,1159,1161
36061WM,0,0,880,880
36081NE,17,95,557,669
36081NW,3,68,2809,2880
36081SE,39,88,1406,1533
36081SW,5,32,90,127
36085C,51,42,16,109
36085N,40,42,122,204
36085S,27,166,0,193
