,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003,NAME
128,9,9.0,0900980070,60,114403,48392,114403,114403,45281,69122,64515,37760,22269,307,2349,32,1798,4607,48392,44425,3967,Waterbury town
129,9,9.0,0900982870,60,55584,22735,55584,55584,13177,42407,40531,25960,11485,118,2609,10,349,1876,22735,21409,1326,West Haven town
130,9,9.0,0900987560,60,16142,6408,16142,16142,1087,15055,14525,13778,395,27,250,3,72,530,6408,6141,267,Wolcott town
131,9,9.0,0900987700,60,9087,3476,9087,9087,547,8540,8173,6625,264,5,1203,3,73,367,3476,3258,218,Woodbridge town
106,36,5.0,3600508510,60,1472654,547030,1472654,1472654,806463,666191,637821,130796,419393,3087,67766,457,16322,28370,547030,522450,24580,Bronx borough
321,36,27.0,3602701693,60,3769,1962,3769,3769,425,3344,3164,2974,87,16,70,0,17,180,1962,1622,340,Amenia town
322,36,27.0,3602705100,60,13769,6262,13769,13769,2686,11083,10396,8204,1741,12,290,11,138,687,6262,5780,482,Beacon city
323,36,27.0,3602705452,60,14172,4874,14172,14172,1881,12291,11860,9952,1485,17,356,3,47,431,4874,4409,465,Beekman town
324,36,27.0,3602716408,60,4037,1901,4037,4037,196,3841,3666,3521,75,3,56,1,10,175,1901,1593,308,Clinton town
325,36,27.0,3602720819,60,8415,3505,8415,8415,1638,6777,6418,5736,372,8,266,0,36,359,3505,3182,323,Dover town
326,36,27.0,3602721996,60,29707,10829,29707,29707,3679,26028,25002,22403,1130,29,1254,2,184,1026,10829,10206,623,East Fishkill town
327,36,27.0,3602725978,60,24226,9521,24226,24226,3822,20404,19655,15138,3160,46,1180,5,126,749,9521,9039,482,Fishkill town
328,36,27.0,3602737209,60,21021,8433,21021,21021,1989,19032,17957,15405,1594,35,810,1,112,1075,8433,7921,512,Hyde Park town
329,36,27.0,3602740299,60,15975,5897,15975,15975,1783,14192,13522,11852,842,16,707,4,101,670,5897,5617,280,LaGrange town
330,36,27.0,3602747207,60,2245,1202,2245,2245,131,2114,1994,1912,32,6,30,0,14,120,1202,957,245,Milan town
331,36,27.0,3602751891,60,2971,1543,2971,2971,419,2552,2431,2318,48,2,53,1,9,121,1543,1223,320,North East town
332,36,27.0,3602756825,60,8012,3518,8012,8012,1178,6834,6588,6196,201,12,133,3,43,246,3518,3117,401,Pawling town
333,36,27.0,3602758156,60,2218,1175,2218,2218,126,2092,1980,1921,18,4,30,1,6,112,1175,946,229,Pine Plains town
334,36,27.0,3602758695,60,9799,4151,9799,9799,866,8933,8474,7817,384,6,184,3,80,459,4151,3921,230,Pleasant Valley town
335,36,27.0,3602759641,60,31577,14604,31577,31577,7105,24472,22813,10853,11165,64,505,12,214,1659,14604,13139,1465,Poughkeepsie city
336,36,27.0,3602759652,60,45471,16878,45471,45471,6794,38677,36864,28406,5115,41,2802,7,493,1813,16878,15857,1021,Poughkeepsie town
337,36,27.0,3602760905,60,9953,4415,9953,9953,733,9220,8872,8381,148,10,299,2,32,348,4415,3926,489,Red Hook town
338,36,27.0,3602761357,60,7596,3787,7596,7596,506,7090,6806,6510,97,5,154,0,40,284,3787,3320,467,Rhinebeck town
339,36,27.0,3602770662,60,3682,1859,3682,3682,277,3405,3276,3073,135,5,43,0,20,129,1859,1494,365,Stanford town
340,36,27.0,3602776166,60,4558,1766,4558,4558,312,4246,4104,3926,74,3,78,2,21,142,1766,1587,179,Union Vale town
341,36,27.0,3602778157,60,28216,11657,28216,28216,5228,22988,21965,18331,2120,39,1270,9,196,1023,11657,11183,474,Wappinger town
342,36,27.0,3602778388,60,4522,2270,4522,4522,450,4072,3859,3666,103,8,65,0,17,213,2270,1888,382,Washington town
506,36,47.0,3604710022,60,2736074,1077654,2736074,2736074,516426,2219648,2106478,968427,729696,3964,370776,718,32897,113170,1077654,1009804,67850,Brooklyn borough
590,36,59.0,3605929113,60,28365,10793,28365,28365,9752,18613,18055,14775,1595,58,1449,2,176,558,10793,10099,694,Glen Cove city
591,36,59.0,3605934000,60,793409,260524,793409,793409,174883,618526,597414,402466,125839,1139,59525,172,8273,21112,260524,250261,10263,Hempstead town
592,36,59.0,3605943335,60,35029,16771,35029,35029,5370,29659,28794,25531,1820,42,1107,21,273,865,16771,15360,1411,Long Beach city
593,36,59.0,3605953000,60,237639,83729,237639,237639,35083,202556,196132,128168,11312,253,54700,50,1649,6424,83729,79546,4183,North Hempstead town
594,36,59.0,3605956000,60,301332,104915,301332,301332,31337,269995,263226,208514,6650,222,46384,47,1409,6769,104915,100216,4699,Oyster Bay town
595,36,61.0,3606144919,60,1694251,913926,1694251,1694251,402640,1291611,1228622,793294,199592,1895,219624,882,13335,62989,913926,817782,96144,Manhattan borough
681,36,71.0,3607107003,60,18811,6944,18811,18811,3913,14898,14228,11981,1387,73,401,4,382,670,6944,6253,691,Blooming Grove town
682,36,71.0,3607115308,60,12646,4590,12646,12646,2446,10200,9743,8065,1058,15,498,2,105,457,4590,4356,234,Chester town
683,36,71.0,3607118300,60,12884,5240,12884,12884,1664,11220,10699,9761,414,17,408,3,96,521,5240,4923,317,Cornwall town
684,36,71.0,3607118916,60,9130,3549,9130,9130,1370,7760,7402,6847,346,11,138,1,59,358,3549,3339,210,Crawford town
685,36,71.0,3607119961,60,7509,3319,7509,7509,657,6852,6457,5851,211,22,328,3,42,395,3319,2954,365,Deerpark town
686,36,71.0,3607129553,60,14571,5226,14571,14571,3133,11438,11061,9604,888,29,473,1,66,377,5226,4832,394,Goshen town
687,36,71.0,3607130631,60,4689,1725,4689,4689,626,4063,3903,3652,144,7,54,0,46,160,1725,1613,112,Greenville town
688,36,71.0,3607131907,60,5489,1877,5489,5489,797,4692,4503,4086,175,4,203,0,35,189,1877,1778,99,Hamptonburgh town
689,36,71.0,3607134550,60,12939,3554,12939,12939,2066,10873,10319,8235,1333,59,598,28,66,554,3554,3156,398,Highlands town
690,36,71.0,3607147042,60,30345,11980,30345,30345,13243,17102,16019,8236,6304,73,1130,3,273,1083,11980,11011,969,Middletown city
691,36,71.0,3607147713,60,4621,1659,4621,4621,618,4003,3866,3657,127,5,45,0,32,137,1659,1579,80,Minisink town
692,36,71.0,3607147999,60,21387,7421,21387,21387,5342,16045,15358,12274,1531,12,1186,4,351,687,7421,7016,405,Monroe town
693,36,71.0,3607148153,60,23322,8920,23322,23322,4320,19002,18032,15797,1663,37,389,5,141,970,8920,8367,553,Montgomery town
694,36,71.0,3607148857,60,6537,2059,6537,6537,1143,5394,5208,4079,756,17,298,0,58,186,2059,1869,190,Mount Hope town
695,36,71.0,3607150034,60,28856,11099,28856,28856,15085,13771,12885,4833,7545,55,246,8,198,886,11099,9771,1328,Newburgh city
696,36,71.0,3607150045,60,31985,12406,31985,31985,7066,24919,23734,18410,4095,55,929,3,242,1185,12406,11745,661,Newburgh town
697,36,71.0,3607150848,60,27805,11156,27805,27805,7100,20705,19735,14468,3969,40,1059,15,184,970,11156,10500,656,New Windsor town
698,36,71.0,3607156185,60,32954,6207,32954,32954,465,32489,31817,23184,57,17,13,12,8534,672,6207,5837,370,Palm Tree town
699,36,71.0,3607159388,60,8775,3992,8775,8775,1311,7464,6914,5843,727,33,181,1,129,550,3992,3542,450,Port Jervis city
700,36,71.0,3607175781,60,3811,1660,3811,3811,466,3345,3230,2831,182,0,191,0,26,115,1660,1441,219,Tuxedo town
701,36,71.0,3607177992,60,30486,12047,30486,30486,8492,21994,20870,13464,5709,101,1289,8,299,1124,12047,11371,676,Wallkill town
702,36,71.0,3607178366,60,32027,13315,32027,32027,4429,27598,26561,24413,1268,56,622,3,199,1037,13315,12115,1200,Warwick town
703,36,71.0,3607178839,60,7534,2758,7534,7534,1335,6199,5968,5272,451,6,190,0,49,231,2758,2593,165,Wawayanda town
704,36,71.0,3607182755,60,12197,4176,12197,12197,2657,9540,9212,7005,1001,10,796,0,400,328,4176,3785,391,Woodbury town
766,36,79.0,3607912529,60,33576,12578,33576,33576,5301,28275,27480,25831,752,20,698,0,179,795,12578,11897,681,Carmel town
767,36,79.0,3607939331,60,12900,5429,12900,12900,2818,10082,9692,8963,359,18,270,0,82,390,5429,4866,563,Kent town
768,36,79.0,3607956748,60,11541,4101,11541,11541,2557,8984,8645,7872,447,13,253,2,58,339,4101,3786,315,Patterson town
769,36,79.0,3607957584,60,9831,4325,9831,9831,916,8915,8505,8087,150,7,208,1,52,410,4325,3847,478,Philipstown town
770,36,79.0,3607960147,60,11762,4817,11762,11762,1852,9910,9488,8859,292,10,251,5,71,422,4817,4237,580,Putnam Valley town
771,36,79.0,3607968924,60,18058,7058,18058,18058,4316,13742,13356,12330,425,12,466,4,119,386,7058,6696,362,Southeast town
772,36,81.0,3608160323,60,2405464,896333,2405464,2405464,667861,1737603,1653491,549358,381375,9576,656583,1110,55489,84112,896333,847210,49123,Queens borough
789,36,85.0,3608570915,60,495747,183692,495747,495747,96960,398787,387469,277981,46835,624,58753,135,3141,11318,183692,173202,10490,Staten Island borough
790,36,87.0,3608715968,60,86855,30629,86855,86855,16275,70580,68409,49281,8298,66,10152,10,602,2171,30629,29489,1140,Clarkstown town
791,36,87.0,3608732765,60,39087,13178,39087,39087,18556,20531,19790,12340,5434,37,1713,7,259,741,13178,12646,532,Haverstraw town
792,36,87.0,3608755211,60,48655,18986,48655,48655,6428,42227,40830,34462,2577,27,3480,4,280,1397,18986,17945,1041,Orangetown town
793,36,87.0,3608760510,60,148919,39869,148919,148919,21984,126935,123940,100337,16555,245,4563,19,2221,2995,39869,37722,2147,Ramapo town
794,36,87.0,3608771674,60,14813,5406,14813,14813,3208,11605,11209,9693,911,15,505,2,83,396,5406,5146,260,Stony Point town
924,36,103.0,3610304000,60,218223,75270,218223,218223,52142,166081,160237,114931,33874,428,9329,20,1655,5844,75270,71907,3363,Babylon town
925,36,103.0,3610310000,60,485773,178581,485773,485773,83528,402245,386917,329999,30287,814,23108,97,2612,15328,178581,167187,11394,Brookhaven town
926,36,103.0,3610322194,60,28385,21163,28385,28385,7531,20854,20106,18607,770,57,474,12,186,748,21163,11118,10045,East Hampton town
927,36,103.0,3610337000,60,204127,73073,204127,204127,31403,172724,167499,143950,8667,147,13598,27,1110,5225,73073,70014,3059,Huntington town
928,36,103.0,3610338000,60,339938,111346,339938,339938,118903,221035,213728,172617,26931,455,11001,58,2666,7307,111346,105002,6344,Islip town
929,36,103.0,3610359106,60,436,159,436,436,87,349,304,34,55,215,0,0,0,45,159,150,9,Poospatuck Reservation
930,36,103.0,3610361984,60,35902,16310,35902,35902,8262,27640,26742,23881,2193,53,436,5,174,898,16310,13879,2431,Riverhead town
931,36,103.0,3610366839,60,3253,2731,3253,3253,289,2964,2849,2777,21,0,46,0,5,115,2731,1481,1250,Shelter Island town
932,36,103.0,3610367059,60,819,349,819,819,47,772,744,28,30,684,2,0,0,28,349,300,49,Shinnecock Reservation
933,36,103.0,3610368000,60,116296,41415,116296,116296,9979,106317,103561,95702,1662,58,5585,6,548,2756,41415,40018,1397,Smithtown town
934,36,103.0,3610368473,60,69036,42770,69036,69036,17178,51858,50186,46104,2293,170,1185,9,425,1672,42770,25806,16964,Southampton town
935,36,103.0,3610369463,60,23732,15773,23732,23732,3610,20122,19566,18700,485,21,255,7,98,556,15773,10010,5763,Southold town
936,36,105.0,3610506310,60,3959,3703,3959,3959,503,3456,3312,3152,94,4,32,3,27,144,3703,1766,1937,Bethel town
937,36,105.0,3610511759,60,2989,1852,2989,2989,232,2757,2642,2534,31,6,63,0,8,115,1852,1280,572,Callicoon town
938,36,105.0,3610516661,60,1448,1042,1448,1448,80,1368,1310,1272,22,0,9,0,7,58,1042,653,389,Cochecton town
939,36,105.0,3610520104,60,2203,1458,2203,2203,171,2032,1956,1779,140,1,22,0,14,76,1458,927,531,Delaware town
940,36,105.0,3610525241,60,14192,8830,14192,14192,3845,10347,9887,7586,1811,25,306,2,157,460,8830,4148,4682,Fallsburg town
941,36,105.0,3610526528,60,808,552,808,808,38,770,740,695,18,0,23,1,3,30,552,347,205,Forestburgh town
942,36,105.0,3610527573,60,1161,1197,1161,1161,72,1089,1057,1014,20,10,10,0,3,32,1197,537,660,Fremont town
943,36,105.0,3610534473,60,2196,1722,2196,2196,144,2052,1974,1918,27,4,17,0,8,78,1722,1004,718,Highland town
944,36,105.0,3610542235,60,10159,5450,10159,10159,2789,7370,6853,5912,685,32,173,0,51,517,5450,3916,1534,Liberty town
945,36,105.0,3610543786,60,2243,1547,2243,2243,201,2042,1924,1844,32,10,31,0,7,118,1547,911,636,Lumberland town
946,36,105.0,3610544809,60,12655,6157,12655,12655,1573,11082,10374,9633,428,33,189,1,90,708,6157,4731,1426,Mamakating town
947,36,105.0,3610549847,60,3366,2020,3366,3366,222,3144,3027,2927,43,5,41,0,11,117,2020,1411,609,Neversink town
948,36,105.0,3610563176,60,3290,2432,3290,3290,322,2968,2809,2683,49,5,54,0,18,159,2432,1420,1012,Rockland town
949,36,105.0,3610573627,60,16550,10023,16550,16550,3719,12831,11987,8545,2638,36,572,3,193,844,10023,6478,3545,Thompson town
950,36,105.0,3610575759,60,1405,1140,1405,1405,96,1309,1263,1197,31,3,27,0,5,46,1140,654,486,Tusten town
970,36,111.0,3611120247,60,493,501,493,493,30,463,423,400,12,6,3,0,2,40,501,219,282,Denning town
971,36,111.0,3611124691,60,9548,4089,9548,9548,603,8945,8472,7914,401,3,111,0,43,473,4089,3668,421,Esopus town
