,stco,geoid,name,2000,2010
159,34013,3401343800,"Maplewood township, Essex County, New Jersey",8615,8608
160,34013,3401346380,"Millburn township, Essex County, New Jersey",7158,7106
161,34013,3401347500,"Montclair township, Essex County, New Jersey",15531,15911
162,34013,3401351000,"Newark city, Essex County, New Jersey",100141,109520
163,34013,3401352620,"North Caldwell borough, Essex County, New Jersey",2108,2134
164,34013,3401353680,"Nutley township, Essex County, New Jersey",11118,11789
165,34013,3401364590,"Roseland borough, Essex County, New Jersey",2187,2432
166,34013,3401369274,"South Orange Village township, Essex County, New Jersey",5671,5815
167,34013,3401375815,"Verona township, Essex County, New Jersey",5719,5523
168,34013,3401378510,"West Caldwell township, Essex County, New Jersey",4044,4009
169,34013,3401379800,"West Orange township, Essex County, New Jersey",16901,17612
170,34017,3401703580,"Bayonne city, Hudson County, New Jersey",26826,27799
171,34017,3401719360,"East Newark borough, Hudson County, New Jersey",799,794
172,34017,3401728650,"Guttenberg town, Hudson County, New Jersey",4650,4839
173,34017,3401730210,"Harrison town, Hudson County, New Jersey",5254,5228
174,34017,3401732250,"Hoboken city, Hudson County, New Jersey",19915,26855
175,34017,3401736000,"Jersey City city, Hudson County, New Jersey",93648,108720
176,34017,3401736510,"Kearny town, Hudson County, New Jersey",13872,14180
177,34017,3401752470,"North Bergen township, Hudson County, New Jersey",22009,23912
178,34017,3401766570,"Secaucus town, Hudson County, New Jersey",6385,6846
179,34017,3401774630,"Union City city, Hudson County, New Jersey",23741,24931
180,34017,3401777930,"Weehawken township, Hudson County, New Jersey",6159,6213
181,34017,3401779610,"West New York town, Hudson County, New Jersey",17360,20018
182,34019,3401900550,"Alexandria township, Hunterdon County, New Jersey",1598,1865
183,34019,3401905650,"Bethlehem township, Hunterdon County, New Jersey",1303,1386
184,34019,3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",342,358
185,34019,3401909280,"Califon borough, Hunterdon County, New Jersey",410,419
186,34019,3401913720,"Clinton town, Hunterdon County, New Jersey",1095,1098
187,34019,3401913750,"Clinton township, Hunterdon County, New Jersey",4234,4737
188,34019,3401917170,"Delaware township, Hunterdon County, New Jersey",1701,1927
189,34019,3401918820,"East Amwell township, Hunterdon County, New Jersey",1624,1580
190,34019,3401923700,"Flemington borough, Hunterdon County, New Jersey",1876,1926
191,34019,3401924870,"Franklin township, Hunterdon County, New Jersey",1125,1204
192,34019,3401925350,"Frenchtown borough, Hunterdon County, New Jersey",630,656
193,34019,3401926550,"Glen Gardner borough, Hunterdon County, New Jersey",829,825
194,34019,3401929460,"Hampton borough, Hunterdon County, New Jersey",574,612
195,34019,3401931320,"High Bridge borough, Hunterdon County, New Jersey",1478,1481
196,34019,3401932460,"Holland township, Hunterdon County, New Jersey",1942,2066
197,34019,3401937065,"Kingwood township, Hunterdon County, New Jersey",1422,1569
198,34019,3401938610,"Lambertville city, Hunterdon County, New Jersey",1961,2075
199,34019,3401939630,"Lebanon borough, Hunterdon County, New Jersey",477,664
200,34019,3401939660,"Lebanon township, Hunterdon County, New Jersey",2020,2439
201,34019,3401946260,"Milford borough, Hunterdon County, New Jersey",484,552
202,34019,3401961920,"Raritan township, Hunterdon County, New Jersey",7094,8288
203,34019,3401962250,"Readington township, Hunterdon County, New Jersey",5794,6191
204,34019,3401970980,"Stockton borough, Hunterdon County, New Jersey",258,259
205,34019,3401972510,"Tewksbury township, Hunterdon County, New Jersey",2052,2323
206,34019,3401974420,"Union township, Hunterdon County, New Jersey",1725,1830
207,34019,3401978230,"West Amwell township, Hunterdon County, New Jersey",984,1157
208,34021,3402119780,"East Windsor township, Mercer County, New Jersey",9880,10851
209,34021,3402122185,"Ewing township, Mercer County, New Jersey",12924,13926
210,34021,3402129310,"Hamilton township, Mercer County, New Jersey",34535,36170
211,34021,3402131620,"Hightstown borough, Mercer County, New Jersey",2081,2108
212,34021,3402133150,"Hopewell borough, Mercer County, New Jersey",836,817
213,34021,3402133180,"Hopewell township, Mercer County, New Jersey",5629,6551
214,34021,3402139510,"Lawrence township, Mercer County, New Jersey",11180,13239
215,34021,3402157600,"Pennington borough, Mercer County, New Jersey",1040,1083
216,34021,3402160900,"Princeton borough, Mercer County, New Jersey",34956224,34886814
217,34021,3402163850,"Robbinsville township, Mercer County, New Jersey",4163,5277
218,34021,3402174000,"Trenton city, Mercer County, New Jersey",33843,33035
219,34021,3402180240,"West Windsor township, Mercer County, New Jersey",7450,9810
220,34023,3402310750,"Carteret borough, Middlesex County, New Jersey",7320,8148
221,34023,3402315550,"Cranbury township, Middlesex County, New Jersey",1121,1371
222,34023,3402318490,"Dunellen borough, Middlesex County, New Jersey",2520,2683
223,34023,3402319000,"East Brunswick township, Middlesex County, New Jersey",16640,17367
224,34023,3402320230,"Edison township, Middlesex County, New Jersey",36018,36302
225,34023,3402330840,"Helmetta borough, Middlesex County, New Jersey",769,920
226,34023,3402331470,"Highland Park borough, Middlesex County, New Jersey",6071,6203
227,34023,3402334890,"Jamesburg borough, Middlesex County, New Jersey",2240,2267
228,34023,3402345690,"Metuchen borough, Middlesex County, New Jersey",5104,5440
229,34023,3402345900,"Middlesex borough, Middlesex County, New Jersey",5130,5148
230,34023,3402346620,"Milltown borough, Middlesex County, New Jersey",2670,2698
231,34023,3402347280,"Monroe township, Middlesex County, New Jersey",13259,18002
232,34023,3402351210,"New Brunswick city, Middlesex County, New Jersey",13893,15053
233,34023,3402352560,"North Brunswick township, Middlesex County, New Jersey",13932,15045
234,34023,3402354705,"Old Bridge township, Middlesex County, New Jersey",21896,24638
235,34023,3402358200,"Perth Amboy city, Middlesex County, New Jersey",15236,16556
236,34023,3402359010,"Piscataway township, Middlesex County, New Jersey",16946,17777
237,34023,3402359280,"Plainsboro township, Middlesex County, New Jersey",9133,10089
238,34023,3402365790,"Sayreville borough, Middlesex County, New Jersey",15235,16393
239,34023,3402368550,"South Amboy city, Middlesex County, New Jersey",3110,3576
240,34023,3402368790,"South Brunswick township, Middlesex County, New Jersey",13862,15708
241,34023,3402369390,"South Plainfield borough, Middlesex County, New Jersey",7307,8093
242,34023,3402369420,"South River borough, Middlesex County, New Jersey",5769,5957
243,34023,3402369810,"Spotswood borough, Middlesex County, New Jersey",3158,3242
244,34023,3402382000,"Woodbridge township, Middlesex County, New Jersey",35298,36124
245,34025,3402500000,"County subdivisions not defined, Monmouth County, New Jersey",0,0
246,34025,3402500070,"Aberdeen township, Monmouth County, New Jersey",6558,7102
247,34025,3402500730,"Allenhurst borough, Monmouth County, New Jersey",370,365
248,34025,3402500760,"Allentown borough, Monmouth County, New Jersey",718,735
249,34025,3402501960,"Asbury Park city, Monmouth County, New Jersey",7744,8076
250,34025,3402502110,"Atlantic Highlands borough, Monmouth County, New Jersey",2056,2002
251,34025,3402502440,"Avon-by-the-Sea borough, Monmouth County, New Jersey",1387,1321
252,34025,3402504930,"Belmar borough, Monmouth County, New Jersey",3996,3931
253,34025,3402506970,"Bradley Beach borough, Monmouth County, New Jersey",3132,3180
254,34025,3402507750,"Brielle borough, Monmouth County, New Jersey",2123,2034
255,34025,3402514560,"Colts Neck township, Monmouth County, New Jersey",3614,3735
256,34025,3402516660,"Deal borough, Monmouth County, New Jersey",953,926
257,34025,3402519840,"Eatontown borough, Monmouth County, New Jersey",6341,5723
258,34025,3402521570,"Englishtown borough, Monmouth County, New Jersey",680,647
259,34025,3402522440,"Fair Haven borough, Monmouth County, New Jersey",2037,2065
260,34025,3402522950,"Farmingdale borough, Monmouth County, New Jersey",638,578
261,34025,3402525200,"Freehold borough, Monmouth County, New Jersey",3821,4249
262,34025,3402525230,"Freehold township, Monmouth County, New Jersey",11032,13140
263,34025,3402530690,"Hazlet township, Monmouth County, New Jersey",7406,7417
264,34025,3402531500,"Highlands borough, Monmouth County, New Jersey",2820,3146
265,34025,3402532640,"Holmdel township, Monmouth County, New Jersey",5137,5792
266,34025,3402533300,"Howell township, Monmouth County, New Jersey",16572,17979
267,34025,3402534200,"Interlaken borough, Monmouth County, New Jersey",397,393
268,34025,3402536480,"Keansburg borough, Monmouth County, New Jersey",4269,4318
269,34025,3402536810,"Keyport borough, Monmouth County, New Jersey",3400,3272
270,34025,3402537560,"Lake Como borough, Monmouth County, New Jersey",1107,1115
271,34025,3402540770,"Little Silver borough, Monmouth County, New Jersey",2288,2278
272,34025,3402541010,"Loch Arbour village, Monmouth County, New Jersey",156,159
273,34025,3402541310,"Long Branch city, Monmouth County, New Jersey",13983,14170
274,34025,3402542990,"Manalapan township, Monmouth County, New Jersey",11066,13735
275,34025,3402543050,"Manasquan borough, Monmouth County, New Jersey",3531,3500
276,34025,3402544070,"Marlboro township, Monmouth County, New Jersey",11896,13436
277,34025,3402544520,"Matawan borough, Monmouth County, New Jersey",3640,3606
278,34025,3402545990,"Middletown township, Monmouth County, New Jersey",23841,24959
279,34025,3402546560,"Millstone township, Monmouth County, New Jersey",2797,3434
280,34025,3402547130,"Monmouth Beach borough, Monmouth County, New Jersey",1969,1981
281,34025,3402549890,"Neptune township, Monmouth County, New Jersey",12217,12991
282,34025,3402549920,"Neptune City borough, Monmouth County, New Jersey",2342,2312
283,34025,3402554270,"Ocean township, Monmouth County, New Jersey",10756,11541
284,34025,3402554570,"Oceanport borough, Monmouth County, New Jersey",2114,2390
