,stco,geoid,name,2000,2010
235,34023,3402358200,"Perth Amboy city, Middlesex County, New Jersey",674,1137
236,34023,3402359010,"Piscataway township, Middlesex County, New Jersey",446,727
237,34023,3402359280,"Plainsboro township, Middlesex County, New Jersey",391,687
238,34023,3402365790,"Sayreville borough, Middlesex County, New Jersey",280,757
239,34023,3402368550,"South Amboy city, Middlesex County, New Jersey",143,204
240,34023,3402368790,"South Brunswick township, Middlesex County, New Jersey",434,639
241,34023,3402369390,"South Plainfield borough, Middlesex County, New Jersey",156,217
242,34023,3402369420,"South River borough, Middlesex County, New Jersey",163,305
243,34023,3402369810,"Spotswood borough, Middlesex County, New Jersey",59,114
244,34023,3402382000,"Woodbridge township, Middlesex County, New Jersey",736,1509
245,34025,3402500000,"County subdivisions not defined, Monmouth County, New Jersey",0,0
246,34025,3402500070,"Aberdeen township, Monmouth County, New Jersey",137,226
247,34025,3402500730,"Allenhurst borough, Monmouth County, New Jersey",85,148
248,34025,3402500760,"Allentown borough, Monmouth County, New Jersey",10,31
249,34025,3402501960,"Asbury Park city, Monmouth County, New Jersey",990,1351
250,34025,3402502110,"Atlantic Highlands borough, Monmouth County, New Jersey",87,132
251,34025,3402502440,"Avon-by-the-Sea borough, Monmouth County, New Jersey",344,420
252,34025,3402504930,"Belmar borough, Monmouth County, New Jersey",1050,1236
253,34025,3402506970,"Bradley Beach borough, Monmouth County, New Jersey",835,1082
254,34025,3402507750,"Brielle borough, Monmouth County, New Jersey",185,229
255,34025,3402514560,"Colts Neck township, Monmouth County, New Jersey",101,458
256,34025,3402516660,"Deal borough, Monmouth County, New Jersey",519,593
257,34025,3402519840,"Eatontown borough, Monmouth County, New Jersey",561,404
258,34025,3402521570,"Englishtown borough, Monmouth County, New Jersey",37,26
259,34025,3402522440,"Fair Haven borough, Monmouth County, New Jersey",39,95
260,34025,3402522950,"Farmingdale borough, Monmouth County, New Jersey",13,31
261,34025,3402525200,"Freehold borough, Monmouth County, New Jersey",126,243
262,34025,3402525230,"Freehold township, Monmouth County, New Jersey",218,563
263,34025,3402530690,"Hazlet township, Monmouth County, New Jersey",162,277
264,34025,3402531500,"Highlands borough, Monmouth County, New Jersey",370,523
265,34025,3402532640,"Holmdel township, Monmouth County, New Jersey",190,208
266,34025,3402533300,"Howell township, Monmouth County, New Jersey",509,719
267,34025,3402534200,"Interlaken borough, Monmouth County, New Jersey",11,32
268,34025,3402536480,"Keansburg borough, Monmouth County, New Jersey",397,513
269,34025,3402536810,"Keyport borough, Monmouth County, New Jersey",136,205
270,34025,3402537560,"Lake Como borough, Monmouth County, New Jersey",283,330
271,34025,3402540770,"Little Silver borough, Monmouth County, New Jersey",56,132
272,34025,3402541010,"Loch Arbour village, Monmouth County, New Jersey",36,77
273,34025,3402541310,"Long Branch city, Monmouth County, New Jersey",1389,2417
274,34025,3402542990,"Manalapan township, Monmouth County, New Jersey",285,472
275,34025,3402543050,"Manasquan borough, Monmouth County, New Jersey",931,1126
276,34025,3402544070,"Marlboro township, Monmouth County, New Jersey",418,435
277,34025,3402544520,"Matawan borough, Monmouth County, New Jersey",109,248
278,34025,3402545990,"Middletown township, Monmouth County, New Jersey",605,997
279,34025,3402546560,"Millstone township, Monmouth County, New Jersey",89,133
