,stco,geoid,name,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003
45,9005,900579720,"Washington town, Litchfield County, Connecticut",3646,2056,3646,3646,219,3427,3319,3217,24,5,49,0,24,108,2056,1526,530
46,9005,900580490,"Watertown town, Litchfield County, Connecticut",22105,9137,22105,22105,1390,20715,20064,19121,399,21,399,10,114,651,9137,8742,395
47,9005,900586440,"Winchester town, Litchfield County, Connecticut",10224,5405,10224,10224,684,9540,9117,8812,116,15,124,12,38,423,5405,4661,744
48,9005,900587910,"Woodbury town, Litchfield County, Connecticut",9723,4584,9723,9723,454,9269,8934,8609,108,18,141,6,52,335,4584,4251,333
49,9009,900900000,"County subdivisions not defined, New Haven County, Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9009,900901220,"Ansonia town, New Haven County, Connecticut",18918,8104,18918,18918,4493,14425,13685,10688,2474,27,382,1,113,740,8104,7570,534
51,9009,900903250,"Beacon Falls town, New Haven County, Connecticut",6000,2618,6000,6000,413,5587,5386,5126,124,9,84,0,43,201,2618,2485,133
52,9009,900904580,"Bethany town, New Haven County, Connecticut",5297,2039,5297,5297,182,5115,4938,4561,101,3,248,0,25,177,2039,1948,91
53,9009,900907310,"Branford town, New Haven County, Connecticut",28273,14180,28273,28273,1862,26411,25564,23427,654,25,1311,10,137,847,14180,13069,1111
54,9009,900914160,"Cheshire town, New Haven County, Connecticut",28733,10401,28733,28733,1818,26915,26015,22882,1226,16,1788,2,101,900,10401,10041,360
55,9009,900919550,"Derby town, New Haven County, Connecticut",12325,5759,12325,12325,2544,9781,9391,7595,1373,20,336,3,64,390,5759,5408,351
56,9009,900922910,"East Haven town, New Haven County, Connecticut",27923,12394,27923,27923,5054,22869,22125,19656,1262,26,1066,3,112,744,12394,11635,759
57,9009,900934950,"Guilford town, New Haven County, Connecticut",22073,9693,22073,22073,1135,20938,20142,19085,202,10,781,2,62,796,9693,8813,880
58,9009,900935650,"Hamden town, New Haven County, Connecticut",61169,25984,61169,61169,7836,53333,51170,32384,14834,178,3447,25,302,2163,25984,23988,1996
59,9009,900944560,"Madison town, New Haven County, Connecticut",17691,8060,17691,17691,641,17050,16477,15705,127,20,562,0,63,573,8060,6987,1073
60,9009,900946520,"Meriden town, New Haven County, Connecticut",60850,26177,60850,60850,22295,38555,36384,29104,5565,67,1311,25,312,2171,26177,24346,1831
61,9009,900946940,"Middlebury town, New Haven County, Connecticut",7574,3047,7574,7574,332,7242,7038,6560,67,0,377,3,31,204,3047,2859,188
62,9009,900947535,"Milford town, New Haven County, Connecticut",52044,23749,52044,52044,4111,47933,46122,41417,1531,51,2840,17,266,1811,23749,22338,1411
63,9009,900949950,"Naugatuck town, New Haven County, Connecticut",31519,13239,31519,31519,4871,26648,24909,21366,2195,31,749,7,561,1739,13239,12432,807
64,9009,900952070,"New Haven town, New Haven County, Connecticut",134023,57525,134023,134023,41068,92955,88115,37010,40788,339,9044,61,873,4840,57525,52263,5262
65,9009,900953890,"North Branford town, New Haven County, Connecticut",13544,5633,13544,13544,670,12874,12556,12137,145,7,234,0,33,318,5633,5323,310
66,9009,900954870,"North Haven town, New Haven County, Connecticut",24253,9981,24253,24253,1490,22763,22124,19631,889,23,1468,8,105,639,9981,9546,435
67,9009,900957600,"Orange town, New Haven County, Connecticut",14280,5480,14280,14280,715,13565,13112,11326,259,11,1458,1,57,453,5480,5282,198
68,9009,900958300,"Oxford town, New Haven County, Connecticut",12706,5022,12706,12706,681,12025,11657,11254,128,7,218,4,46,368,5022,4774,248
69,9009,900962290,"Prospect town, New Haven County, Connecticut",9401,3762,9401,9401,426,8975,8676,8331,206,10,94,2,33,299,3762,3627,135
70,9009,900967610,"Seymour town, New Haven County, Connecticut",16748,7112,16748,16748,1752,14996,14479,13298,668,13,421,5,74,517,7112,6779,333
71,9009,900969640,"Southbury town, New Haven County, Connecticut",19879,9270,19879,19879,830,19049,18477,17625,200,6,556,2,88,572,9270,8587,683
72,9009,900978740,"Wallingford town, New Haven County, Connecticut",44396,18938,44396,44396,4770,39626,38283,35397,842,57,1809,18,160,1343,18938,18104,834
73,9009,900980070,"Waterbury town, New Haven County, Connecticut",114403,48392,114403,114403,45281,69122,64515,37760,22269,307,2349,32,1798,4607,48392,44425,3967
74,9009,900982870,"West Haven town, New Haven County, Connecticut",55584,22735,55584,55584,13177,42407,40531,25960,11485,118,2609,10,349,1876,22735,21409,1326
75,9009,900987560,"Wolcott town, New Haven County, Connecticut",16142,6408,16142,16142,1087,15055,14525,13778,395,27,250,3,72,530,6408,6141,267
76,9009,900987700,"Woodbridge town, New Haven County, Connecticut",9087,3476,9087,9087,547,8540,8173,6625,264,5,1203,3,73,367,3476,3258,218
77,26103,3628997,"Gilgo-Oak Beach-Captree CDP, New York",268,233,268,268,20,248,248,225,5,0,18,0,0,0,233,113,120
78,34003,3400300700,"Allendale borough, Bergen County, New Jersey",6848,2450,6848,6848,456,6392,6165,5261,42,1,837,2,22,227,2450,2327,123
79,34003,3400301090,"Alpine borough, Bergen County, New Jersey",1762,676,1762,1762,121,1641,1601,949,54,0,593,0,5,40,676,587,89
80,34003,3400305170,"Bergenfield borough, Bergen County, New Jersey",28321,9387,28321,28321,9121,19200,18668,9278,1894,30,7222,0,244,532,9387,9097,290
81,34003,3400306490,"Bogota borough, Bergen County, New Jersey",8778,3026,8778,8778,4506,4272,4057,2614,585,15,748,2,93,215,3026,2939,87
82,34003,3400310480,"Carlstadt borough, Bergen County, New Jersey",6372,2563,6372,6372,1582,4790,4646,3855,132,10,608,0,41,144,2563,2429,134
83,34003,3400313570,"Cliffside Park borough, Bergen County, New Jersey",25693,11435,25693,25693,8954,16739,16007,11185,656,23,3784,5,354,732,11435,10735,700
84,34003,3400313810,"Closter borough, Bergen County, New Jersey",8594,2891,8594,8594,725,7869,7620,4496,83,2,3009,0,30,249,2891,2762,129
85,34003,3400315820,"Cresskill borough, Bergen County, New Jersey",9155,3157,9155,9155,630,8525,8301,5305,90,3,2865,1,37,224,3157,3015,142
86,34003,3400317530,"Demarest borough, Bergen County, New Jersey",4981,1680,4981,4981,270,4711,4570,2941,41,1,1562,1,24,141,1680,1598,82
87,34003,3400318400,"Dumont borough, Bergen County, New Jersey",17863,6572,17863,17863,3883,13980,13538,9847,503,12,3081,2,93,442,6572,6408,164
88,34003,3400319510,"East Rutherford borough, Bergen County, New Jersey",10022,4585,10022,10022,2556,7466,7225,5028,456,28,1612,2,99,241,4585,4306,279
89,34003,3400320020,"Edgewater borough, Bergen County, New Jersey",14336,7315,14336,14336,1959,12377,11878,5934,772,13,5071,1,87,499,7315,6742,573
90,34003,3400321300,"Elmwood Park borough, Bergen County, New Jersey",21422,7949,21422,21422,5898,15524,15052,10928,1494,25,2367,0,238,472,7949,7652,297
91,34003,3400321450,"Emerson borough, Bergen County, New Jersey",7290,2600,7290,7290,948,6342,6164,5328,108,4,709,0,15,178,2600,2482,118
92,34003,3400321480,"Englewood city, Bergen County, New Jersey",29308,11563,29308,29308,9639,19669,18909,8497,7180,46,2863,8,315,760,11563,10909,654
93,34003,3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",5342,1961,5342,5342,341,5001,4863,2201,107,0,2534,0,21,138,1961,1846,115
94,34003,3400322470,"Fair Lawn borough, Bergen County, New Jersey",34927,12649,34927,34927,5369,29558,28781,23305,784,24,4468,10,190,777,12649,12243,406
95,34003,3400322560,"Fairview borough, Bergen County, New Jersey",15025,5291,15025,15025,10018,5007,4712,3513,240,27,694,0,238,295,5291,5021,270
96,34003,3400324420,"Fort Lee borough, Bergen County, New Jersey",40191,19861,40191,40191,5376,34815,33895,15488,1192,21,16949,9,236,920,19861,18451,1410
97,34003,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",11079,4051,11079,11079,786,10293,10031,8755,172,2,1051,3,48,262,4051,3722,329
98,34003,3400325770,"Garfield city, Bergen County, New Jersey",32655,12407,32655,32655,12781,19874,19343,16398,1684,48,985,3,225,531,12407,11773,634
99,34003,3400326640,"Glen Rock borough, Bergen County, New Jersey",12133,4041,12133,12133,848,11285,10843,9037,163,0,1617,1,25,442,4041,3934,107
100,34003,3400328680,"Hackensack city, Bergen County, New Jersey",46030,20290,46030,46030,19220,26810,25849,11053,9558,62,4734,7,435,961,20290,19132,1158
101,34003,3400330150,"Harrington Park borough, Bergen County, New Jersey",4741,1643,4741,4741,299,4442,4333,3235,35,0,1049,0,14,109,1643,1594,49
102,34003,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",12125,4715,12125,12125,2551,9574,9301,7466,333,7,1421,1,73,273,4715,4535,180
103,34003,3400330540,"Haworth borough, Bergen County, New Jersey",3343,1148,3343,3343,191,3152,3024,2416,51,0,545,0,12,128,1148,1104,44
104,34003,3400331920,"Hillsdale borough, Bergen County, New Jersey",10143,3635,10143,10143,1138,9005,8769,7861,115,3,742,1,47,236,3635,3502,133
105,34003,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",4258,1473,4258,4258,302,3956,3842,3475,26,1,321,0,19,114,1473,1416,57
106,34003,3400340020,"Leonia borough, Bergen County, New Jersey",9304,3476,9304,9304,1669,7635,7368,3256,202,2,3876,0,32,267,3476,3359,117
107,34003,3400340680,"Little Ferry borough, Bergen County, New Jersey",10987,4527,10987,10987,3468,7519,7298,4012,469,6,2717,3,91,221,4527,4351,176
108,34003,3400341100,"Lodi borough, Bergen County, New Jersey",26206,10414,26206,26206,10838,15368,14842,10413,2020,12,2194,0,203,526,10414,9971,443
109,34003,3400342090,"Lyndhurst township, Bergen County, New Jersey",22519,9516,22519,22519,6081,16438,15895,13388,688,9,1587,0,223,543,9516,9069,447
110,34003,3400342750,"Mahwah township, Bergen County, New Jersey",25487,10109,25487,25487,2204,23283,22554,18840,686,93,2830,2,103,729,10109,9727,382
111,34003,3400344880,"Maywood borough, Bergen County, New Jersey",10080,3829,10080,10080,2567,7513,7286,5143,605,32,1442,1,63,227,3829,3717,112
