,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
703,36,71.0,3607178839,60,7534,2758,7534,2758,Wawayanda town
704,36,71.0,3607182755,60,12197,4176,12197,4176,Woodbury town
766,36,79.0,3607912529,60,33576,12578,33576,12578,Carmel town
767,36,79.0,3607939331,60,12900,5429,12900,5429,Kent town
768,36,79.0,3607956748,60,11541,4101,11541,4101,Patterson town
769,36,79.0,3607957584,60,9831,4325,9831,4325,Philipstown town
770,36,79.0,3607960147,60,11762,4817,11762,4817,Putnam Valley town
771,36,79.0,3607968924,60,18058,7058,18058,7058,Southeast town
772,36,81.0,3608160323,60,2405464,896333,2405464,896333,Queens borough
789,36,85.0,3608570915,60,495747,183692,495747,183692,Staten Island borough
790,36,87.0,3608715968,60,86855,30629,86855,30629,Clarkstown town
791,36,87.0,3608732765,60,39087,13178,39087,13178,Haverstraw town
792,36,87.0,3608755211,60,48655,18986,48655,18986,Orangetown town
793,36,87.0,3608760510,60,148919,39869,148919,39869,Ramapo town
794,36,87.0,3608771674,60,14813,5406,14813,5406,Stony Point town
924,36,103.0,3610304000,60,218223,75270,218223,75270,Babylon town
925,36,103.0,3610310000,60,485773,178581,485773,178581,Brookhaven town
926,36,103.0,3610322194,60,28385,21163,28385,21163,East Hampton town
927,36,103.0,3610337000,60,204127,73073,204127,73073,Huntington town
928,36,103.0,3610338000,60,339938,111346,339938,111346,Islip town
929,36,103.0,3610359106,60,436,159,436,159,Poospatuck Reservation
930,36,103.0,3610361984,60,35902,16310,35902,16310,Riverhead town
931,36,103.0,3610366839,60,3253,2731,3253,2731,Shelter Island town
932,36,103.0,3610367059,60,819,349,819,349,Shinnecock Reservation
933,36,103.0,3610368000,60,116296,41415,116296,41415,Smithtown town
934,36,103.0,3610368473,60,69036,42770,69036,42770,Southampton town
935,36,103.0,3610369463,60,23732,15773,23732,15773,Southold town
936,36,105.0,3610506310,60,3959,3703,3959,3703,Bethel town
937,36,105.0,3610511759,60,2989,1852,2989,1852,Callicoon town
938,36,105.0,3610516661,60,1448,1042,1448,1042,Cochecton town
939,36,105.0,3610520104,60,2203,1458,2203,1458,Delaware town
940,36,105.0,3610525241,60,14192,8830,14192,8830,Fallsburg town
941,36,105.0,3610526528,60,808,552,808,552,Forestburgh town
